,id,title,directors,casts,rate
0,26752088,我不是药神,文牧野,"徐峥,王传君,周一围,谭卓,章宇",9.0
1,1292052,肖申克的救赎,弗兰克·德拉邦特,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗",9.7
2,1295644,这个杀手不太冷,吕克·贝松,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔",9.4
3,26266893,流浪地球,郭帆,"屈楚萧,吴京,李光洁,吴孟达,赵今麦",7.9
4,1291561,千与千寻,宫崎骏,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男",9.4
5,1292720,阿甘正传,罗伯特·泽米吉斯,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德",9.5
6,1292722,泰坦尼克号,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍",9.4
7,3541415,盗梦空间,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉,汤姆·哈迪,渡边谦",9.3
8,1291546,霸王别姬,陈凯歌,"张国荣,张丰毅,巩俐,葛优,英达",9.6
9,27605698,西虹市首富,"闫非,彭大魔","沈腾,宋芸桦,张一鸣,张晨光,常远",6.6
10,25662329,疯狂动物城,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯",9.2
11,3793023,三傻大闹宝莱坞,拉吉库马尔·希拉尼,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达",9.2
12,26387939,摔跤吧！爸爸,涅提·蒂瓦里,"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃",9.0
13,24773958,复仇者联盟3：无限战争,"安东尼·罗素,乔·罗素","小罗伯特·唐尼,克里斯·海姆斯沃斯,克里斯·埃文斯,马克·鲁弗洛,乔什·布洛林",8.1
14,26794435,哪吒之魔童降世,饺子,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮",8.4
15,3319755,怦然心动,罗伯·莱纳,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼",9.1
16,3742360,让子弹飞,姜文,"姜文,葛优,周润发,刘嘉玲,陈坤",8.8
17,1292001,海上钢琴师,朱塞佩·托纳多雷,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,克兰伦斯·威廉姆斯三世,梅兰尼·蒂埃里",9.3
18,1849031,当幸福来敲门,加布里埃莱·穆奇诺,"威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威 ,詹姆斯·凯伦",9.1
19,1292213,大话西游之大圣娶亲,刘镇伟,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",9.2
20,26683290,你的名字。,新海诚,"神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌",8.4
21,3011091,忠犬八公的故事,拉斯·霍尔斯道姆,"理查·基尔,萨拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利",9.4
22,20495023,寻梦环游记,"李·昂克里奇,阿德里安·莫利纳","安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托",9.1
23,1889243,星际穿越,克里斯托弗·诺兰,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克",9.3
24,1292064,楚门的世界,彼得·威尔,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",9.3
25,4920389,头号玩家,史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森,马克·里朗斯,丽娜·维特",8.7
26,27060077,绿皮书,彼得·法雷里,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫",8.9
27,1652587,阿凡达,詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹",8.7
28,26985127,一出好戏,黄渤,"黄渤,舒淇,王宝强,张艺兴,于和伟",7.1
29,3168101,毒液：致命守护者,鲁本·弗雷斯彻,"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,里德·斯科特",7.2
30,1929463,少年派的奇幻漂流,李安,"苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,阿迪勒·侯赛因,塔布",9.1
31,1291560,龙猫,宫崎骏,"日高法子,坂本千夏,糸井重里,岛本须美,北林谷荣",9.2
32,1299398,大话西游之月光宝盒,刘镇伟,"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚",9.0
33,1291549,放牛班的春天,克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德,让-保罗·博奈雷,玛丽·布奈尔",9.3
34,26861685,红海行动,林超贤,"张译,黄景瑜,海清,杜江,蒋璐霞",8.3
35,2129039,飞屋环游记,"彼特·道格特,鲍勃·彼德森","爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多",9.0
36,3878007,海王,温子仁,"杰森·莫玛,艾梅柏·希尔德,威廉·达福,帕特里克·威尔森,妮可·基德曼",7.6
37,2131459,机器人总动员,安德鲁·斯坦顿,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,西格妮·韦弗",9.3
38,30166972,少年的你,曾国祥,"周冬雨,易烊千玺,尹昉,周也,吴越",8.3
39,1307914,无间道,"刘伟强,麦兆辉","刘德华,梁朝伟,黄秋生,曾志伟,郑秀文",9.2
40,27110296,无名之辈,饶晓志,"陈建斌,任素汐,潘斌龙,章宇,王砚辉",8.1
41,26425063,无双,庄文强,"周润发,郭富城,张静初,冯文娟,廖启智",8.1
42,26100958,复仇者联盟4：终局之战,"安东尼·罗素,乔·罗素","小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,乔什·布洛林",8.5
43,26363254,战狼2,吴京,"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗",7.1
44,26698897,唐人街探案2,陈思诚,"王宝强,刘昊然,肖央,刘承羽,尚语贤",6.7
45,25986180,釜山行,延尚昊,"孔侑,郑有美,马东锡,金秀安,金义城",8.5
46,30163509,飞驰人生,韩寒,"沈腾,黄景瑜,尹正,张本煜,尹昉",6.9
47,4920528,那些年，我们一起追的女孩,九把刀,"柯震东,陈妍希,敖犬,郝劭文,蔡昌宪",8.1
48,1292063,美丽人生,罗伯托·贝尼尼,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",9.5
49,1306249,唐伯虎点秋香,李力持,"周星驰,巩俐,陈百祥,郑佩佩,朱咪咪",8.6
50,4739952,初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭","平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,雅尼卡·桑普蕾舞,诺特·阿查拉那·阿瑞亚卫考",8.4
51,1866479,复仇者联盟,乔斯·韦登,"小罗伯特·唐尼,克里斯·埃文斯,斯嘉丽·约翰逊,克里斯·海姆斯沃斯,杰瑞米·雷纳",8.2
52,1292370,剪刀手爱德华,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,安东尼·迈克尔·豪尔,凯西·贝克",8.7
53,25964071,夏洛特烦恼,"闫非,彭大魔","沈腾,马丽,尹正,艾伦,王智",7.7
54,1292215,天使爱美丽,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔日·梅兰",8.7
55,3287562,神偷奶爸,"皮埃尔·柯芬,克里斯·雷纳德","史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,朱莉·安德鲁斯,威尔·阿奈特",8.6
56,26580232,看不见的客人,奥里奥尔·保罗,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,巴巴拉·莱涅,弗兰塞斯克·奥雷利亚",8.8
57,27010768,寄生虫,奉俊昊,"宋康昊,李善均,曹如晶,崔宇植,朴素丹",8.7
58,1291543,功夫,周星驰,"周星驰,元秋,元华,黄圣依,梁小龙",8.6
59,1295124,辛德勒的名单,史蒂文·斯皮尔伯格,"连姆·尼森,本·金斯利,拉尔夫·费因斯,卡罗琳·古多尔,乔纳森·萨加尔",9.5
60,1308807,哈尔的移动城堡,宫崎骏,"倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介",9.1
61,26862829,芳华,冯小刚,"黄轩,苗苗,钟楚曦,杨采钰,李晓峰",7.6
62,1293839,罗马假日,威廉·惠勒,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯",9.0
63,1295038,哈利·波特与魔法石,克里斯·哥伦布,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,艾伦·瑞克曼,玛吉·史密斯",9.1
64,1302425,喜剧之王,"周星驰,李力持","周星驰,张柏芝,莫文蔚,吴孟达,林子善",8.8
65,1851857,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔",9.2
66,11026735,超能陆战队,"唐·霍尔,克里斯·威廉姆斯","斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,杰米·钟",8.7
67,26311973,唐人街探案,陈思诚,"王宝强,刘昊然,佟丽娅,陈赫,肖央",7.6
68,19944106,美人鱼,周星驰,"邓超,罗志祥,张雨绮,林允,徐克",6.7
69,25986662,疯狂的外星人,宁浩,"黄渤,沈腾,汤姆·派福瑞,马修·莫里森,徐峥",6.4
70,1432146,钢铁侠,乔恩·费儒,"小罗伯特·唐尼,泰伦斯·霍华德,格温妮斯·帕特洛,杰夫·布里吉斯,莱丝莉·比伯",8.3
71,1298070,加勒比海盗,戈尔·维宾斯基,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特",8.8
72,32659890,我和我的祖国,"陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野","黄渤,张译,韩昊霖,杜江,葛优",7.7
73,26336252,碟中谍6：全面瓦解,克里斯托弗·麦奎里,"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,西蒙·佩吉,丽贝卡·弗格森",8.1
74,10574622,人再囧途之泰囧,徐峥,"徐峥,王宝强,黄渤,陶虹,谢楠",7.4
75,3025375,奇异博士,斯科特·德瑞克森,"本尼迪克特·康伯巴奇,蒂尔达·斯文顿,麦斯·米科尔森,切瓦特·埃加福,瑞秋·麦克亚当斯",7.6
76,27038183,羞羞的铁拳,"宋阳,张吃鱼","艾伦,马丽,沈腾,田雨,宋阳",6.8
77,1292402,西西里的美丽传说,朱塞佩·托纳多雷,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳,埃丽萨·莫鲁奇,奥罗拉·夸特罗基",8.9
78,24751756,老炮儿,管虎,"冯小刚,许晴,张涵予,刘桦,李易峰",7.6
79,10741834,复仇者联盟2：奥创纪元,乔斯·韦登,"小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁弗洛,克里斯·埃文斯,斯嘉丽·约翰逊",7.5
80,26925317,动物世界,韩延,"李易峰,迈克尔·道格拉斯,周冬雨,曹炳琨,王戈",7.2
81,25921812,驴得水,"周申,刘露","任素汐,大力,刘帅良,裴魁山,阿如那",8.3
82,1291583,天空之城,宫崎骏,"田中真弓,横泽启子,初井言荣,寺田农,常田富士男",9.1
83,25815034,湄公河行动,林超贤,"张涵予,彭于晏,孙淳,陈宝国,冯文娟",8.0
84,26636712,蚁人2：黄蜂女现身,佩顿·里德,"保罗·路德,伊万杰琳·莉莉,迈克尔·佩纳,汉娜·乔恩-卡门,沃尔顿·戈金斯",7.3
85,1292343,蝴蝶效应,"埃里克·布雷斯,J·麦基·格鲁伯","阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,埃尔登·汉森,威廉姆·李·斯科特",8.8
86,7065154,银河护卫队,詹姆斯·古恩,"克里斯·帕拉特,佐伊·索尔达娜,布莱德利·库珀,范·迪塞尔,戴夫·巴蒂斯塔",8.1
87,6786002,触不可及,"奥利维埃·纳卡什,埃里克·托莱达诺","弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,托马·索利韦尔",9.2
88,26366496,邪不压正,姜文,"彭于晏,廖凡,姜文,周韵,许晴",7.0
89,27622447,小偷家族,是枝裕和,"中川雅也,安藤樱,松冈茉优,城桧吏,佐佐木美结",8.7
90,6874741,无问西东,李芳芳,"章子怡,黄晓明,张震,王力宏,陈楚生",7.6
91,30334073,调音师,斯里兰姆·拉格万,"阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,安尔·德霍万,马纳夫·维吉",8.3
92,1292223,七宗罪,大卫·芬奇,"摩根·弗里曼,布拉德·皮特,凯文·史派西,格温妮斯·帕特洛,安德鲁·凯文·沃克",8.8
93,1485260,本杰明·巴顿奇事,大卫·芬奇,"凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德,芳妮·A·钱勃丝,伊莱亚斯·科泰斯",8.9
94,1907966,疯狂原始人,"柯克·德·米科,克里斯·桑德斯","尼古拉斯·凯奇,艾玛·斯通,瑞恩·雷诺兹,凯瑟琳·基纳,克萝丽丝·利奇曼",8.7
95,1301753,狮子王,"罗杰·阿勒斯,罗伯·明可夫","乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,詹姆斯·厄尔·琼斯,莫伊拉·凯利",9.0
96,1291841,教父,弗朗西斯·福特·科波拉,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,理查德·卡斯特尔诺,罗伯特·杜瓦尔",9.3
97,30170448,何以为家,娜丁·拉巴基,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔,卡萨尔·艾尔·哈达德,法迪·尤瑟夫",9.1
98,25820460,美国队长3,"安东尼·罗素,乔·罗素","克里斯·埃文斯,小罗伯特·唐尼,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦,安东尼·麦凯",7.9
99,1297447,倩女幽魂,程小东,"张国荣,王祖贤,午马,刘兆铭,林威",8.7
100,5912992,熔炉,黄东赫,"孔侑,郑有美,金贤秀,郑仁絮,白承焕",9.3
101,26325320,血战钢锯岭,梅尔·吉布森,"安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩,雨果·维文,卢克·布雷西",8.7
102,27133303,超时空同居,苏伦,"雷佳音,佟丽娅,张衣,于和伟,王正佳",6.8
103,25827935,七月与安生,曾国祥,"周冬雨,马思纯,李程彬,李萍,蔡纲",7.6
104,2334904,禁闭岛,马丁·斯科塞斯,"莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,马克斯·冯·叙多夫,米歇尔·威廉姆斯",8.8
105,3066739,钢铁侠2,乔恩·费儒,"小罗伯特·唐尼,格温妮斯·帕特洛,米基·洛克,斯嘉丽·约翰逊,山姆·洛克威尔",7.6
106,3231742,钢铁侠3,沙恩·布莱克,"小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔",7.8
107,5350027,妖猫传,陈凯歌,"黄轩,染谷将太,张雨绮,秦昊,张榕容",6.9
108,1862151,疯狂的石头,宁浩,"郭涛,刘桦,连晋,黄渤,徐峥",8.5
109,6390823,美国队长2,"安东尼·罗素,乔·罗素","克里斯·埃文斯,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦,安东尼·麦凯,海莉·阿特维尔",8.0
110,1866473,蚁人,佩顿·里德,"保罗·路德,迈克尔·道格拉斯,伊万杰琳·莉莉,寇瑞·斯托尔,迈克尔·佩纳",7.7
111,11529526,中国合伙人,陈可辛,"黄晓明,邓超,佟大为,杜鹃,王真儿",7.6
112,24753477,蜘蛛侠：英雄归来,乔·沃茨,"汤姆·赫兰德,小罗伯特·唐尼,玛丽莎·托梅,迈克尔·基顿,雅各布·巴特朗",7.4
113,1292220,情书,岩井俊二,"中山美穗,丰川悦司,酒井美纪,柏原崇,范文雀",8.9
114,27024903,天才枪手,纳塔吾·彭皮里亚,"茱蒂蒙·琼查容苏因,查侬·散顶腾古,依莎亚·贺苏汪,披纳若·苏潘平佑,塔内·瓦拉库努娄",8.2
115,1298624,闻香识女人,马丁·布莱斯特,"阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,加布里埃尔·安瓦尔,菲利普·塞默·霍夫曼",9.1
116,25937854,银河护卫队2,詹姆斯·古恩,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀",8.0
117,4873490,失恋33天,滕华涛,"白百何,文章,张嘉益,王耀庆,张子萱",7.2
118,25934014,爱乐之城,达米恩·查泽雷,"瑞恩·高斯林,艾玛·斯通,约翰·传奇,罗丝玛丽·德薇特,芬·维特洛克",8.4
119,2138838,美国队长,乔·庄斯顿,"克里斯·埃文斯,海莉·阿特维尔,塞巴斯蒂安·斯坦,汤米·李·琼斯,雨果·维文",7.1
120,1291843,黑客帝国,"莉莉·沃卓斯基,拉娜·沃卓斯基","基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,雨果·维文,格洛丽亚·福斯特",9.0
121,1978709,黑天鹅,达伦·阿伦诺夫斯基,"娜塔莉·波特曼,米拉·库尼斯,文森特·卡索,芭芭拉·赫希,薇诺娜·瑞德",8.6
122,1291571,指环王1：魔戒再现,彼得·杰克逊,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,奥兰多·布鲁姆,维果·莫腾森",9.0
123,25805741,后会无期,韩寒,"冯绍峰,陈柏霖,钟汉良,王珞丹,袁泉",7.1
124,30331149,白蛇：缘起,"黄家康,赵霁","张喆,杨天翔,唐小喜,刘紫玲,张遥函",7.9
