,Unnamed: 0,name,ge,number,year,director,writer,act,length,type,region
0,0,我不是药神,9.0,1586468,2018,文牧野,"韩家女,钟伟,文牧野","徐峥,王传君,周一围,谭卓,章宇,杨新鸣,王佳佳,王砚辉,贾晨飞,龚蓓苾,宁浩,李乃文,岳小军,苇青,富冠铭,巴拉特·巴蒂,喜利图,张海艳,朱耕佑",117分钟,"剧情,喜剧",中国大陆
1,1,肖申克的救赎 The Shawshank Redemption,9.7,2165238,1994,弗兰克·德拉邦特,"弗兰克·德拉邦特,斯蒂芬·金","蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗,吉尔·贝罗斯,马克·罗斯顿,詹姆斯·惠特摩,杰弗里·德曼,拉里·布兰登伯格,尼尔·吉恩托利,布赖恩·利比,大卫·普罗瓦尔,约瑟夫·劳格诺,祖德·塞克利拉,保罗·麦克兰尼,芮妮·布莱恩,阿方索·弗里曼,V·J·福斯特,弗兰克·梅德拉诺,马克·迈尔斯,尼尔·萨默斯,耐德·巴拉米,布赖恩·戴拉特,唐·麦克马纳斯",142分钟,"剧情,犯罪",美国
2,2,这个杀手不太冷 Léon,9.4,1819854,1994,吕克·贝松,吕克·贝松,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔,迈克尔·巴达鲁科,艾伦·格里尼,伊丽莎白·瑞根,卡尔·马图斯维奇,弗兰克·赛格,麦温,乔治·马丁,罗伯特·拉萨多,亚当·布斯奇,马里奥·托迪斯科,萨米·纳塞利",110分钟(剧场版),"剧情,动作,犯罪","法国,美国"
3,3,流浪地球,7.9,1586909,2019,郭帆,"龚格尔,严东旭,郭帆,叶俊策,杨治学,吴荑,叶濡畅,沈晶晶,刘慈欣","屈楚萧,吴京,李光洁,吴孟达,赵今麦,隋凯,屈菁菁,张亦驰,杨皓宇,阿尔卡基·沙罗格拉茨基,李虹辰,杨轶,姜志刚,张欢,雷佳音,宁浩,刘慈欣,郭京飞,王智,张子贤,路阳,张宁,张小北,饶晓志,陶珞依,吴晓亮,龚格尔,郭帆",125分钟,"科幻,冒险,灾难",中国大陆
4,4,千与千寻 千と千尋の神隠し,9.4,1702093,2001,宫崎骏,宫崎骏,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男,玉井夕海,神木隆之介,内藤刚志,泽口靖子,我修院达也,大泉洋,小林郁夫,上条恒彦,小野武彦",125分钟,"剧情,动画,奇幻",日本
5,5,阿甘正传 Forrest Gump,9.5,1634447,1994,罗伯特·泽米吉斯,"艾瑞克·罗斯,温斯顿·格鲁姆","汤姆·汉克斯,罗宾·怀特,加里·西尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德,海利·乔·奥斯蒙,迈克尔·康纳·亨弗里斯,哈罗德·G·赫瑟姆,山姆·安德森,伊俄涅·M·特雷奇,彼得·道博森,希芳·法隆,伊丽莎白·汉克斯,汉娜·豪尔,克里斯托弗·琼斯,罗布·兰德里,杰森·麦克奎尔,桑尼·施罗耶,艾德·戴维斯,丹尼尔C.斯瑞派克,大卫·布里斯宾,德博拉·麦克蒂尔,艾尔·哈林顿,阿非莫·奥米拉,约翰·沃德斯塔德,迈克尔·伯吉斯,埃里克·安德伍德,拜伦·明斯,斯蒂芬·布吉格沃特,约翰·威廉·高尔特,希拉里·沙普兰,伊莎贝尔·罗斯,理查德·达历山德罗,迪克·史迪威,迈克尔-杰斯,杰弗里·布莱克,瓦妮莎·罗斯,迪克·卡维特,马拉·苏查雷特扎,乔·阿拉斯奇,W·本森·泰瑞",142分钟,"剧情,爱情",美国
6,6,泰坦尼克号 Titanic,9.4,1588554,1997,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍,格劳瑞亚·斯图尔特,比尔·帕克斯顿,伯纳德·希尔,大卫·沃纳,维克多·加博,乔纳森·海德,苏茜·爱米斯,刘易斯·阿伯内西,尼古拉斯·卡斯柯恩,阿那托利·萨加洛维奇,丹尼·努齐,杰森·贝瑞,伊万·斯图尔特,艾恩·格拉法德,乔纳森·菲利普斯,马克·林赛·查普曼,理查德·格拉翰,保罗·布赖特威尔,艾瑞克·布里登,夏洛特·查顿,博纳德·福克斯,迈克尔·英塞恩,法妮·布雷特,马丁·贾维斯,罗莎琳·艾尔斯,罗切尔·罗斯,乔纳森·伊万斯-琼斯,西蒙·克雷恩,爱德华德·弗莱彻,斯科特·安德森,马丁·伊斯特,克雷格·凯利,格雷戈里·库克,利亚姆·图伊,詹姆斯·兰开斯特,艾尔莎·瑞雯,卢·帕尔特,泰瑞·佛瑞斯塔,凯文·德·拉·诺伊",194分钟,"剧情,爱情,灾难",美国
7,7,盗梦空间 Inception,9.3,1589944,2010,克里斯托弗·诺兰,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉,汤姆·哈迪,渡边谦,迪利普·劳,基里安·墨菲,汤姆·贝伦杰,玛丽昂·歌迪亚,皮特·波斯尔思韦特,迈克尔·凯恩,卢卡斯·哈斯,李太力,克莱尔·吉尔蕾,马格努斯·诺兰,泰勒·吉蕾,乔纳森·吉尔,水源士郎,冈本玉二,厄尔·卡梅伦,瑞恩·海沃德,米兰达·诺兰,拉什·费加,蒂姆·科勒赫,妲露拉·莱莉",148分钟,"剧情,科幻,悬疑,冒险","美国,英国"
8,8,霸王别姬,9.6,1604357,1993,陈凯歌,"芦苇,李碧华","张国荣,张丰毅,巩俐,葛优,英达,蒋雯丽,吴大维,吕齐,雷汉,尹治,马明威,费振翔,智一桐,李春,赵海龙,李丹,童弟,沈慧芬,黄斐,徐杰",171分钟,"剧情,爱情,同性","中国大陆,中国香港"
9,9,西虹市首富,6.6,817704,2018,"闫非,彭大魔","闫非,彭大魔,林炳宝","沈腾,宋芸桦,张一鸣,张晨光,常远,魏翔,赵自强,九孔,李立群,王成思,徐冬冬,艾伦,杨皓宇,黄才伦,王力宏,包贝尔,郎咸平,张绍刚,杨文哲,陶亮,王赞,黄杨,刘鉴,杨沅翰,林炳宝,骆佳,陈昊明,臧一人",118分钟,喜剧,中国大陆
