,tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
0,114.0,2031,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,HUWHS,20140106
1,116.0,2032,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
2,117.0,2033,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
3,119.0,2035,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
4,148.0,2064,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
5,150.0,2066,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
6,151.0,2067,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
7,155.0,2070,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
8,156.0,2071,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
9,159.0,2074,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
10,161.0,2075,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
11,167.0,2079,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
12,183.0,2095,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
13,188.0,2100,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
14,202.0,2114,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
15,206.0,2118,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
16,208.0,2120,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
17,212.0,2124,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
18,214.0,2126,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
19,219.0,2131,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
20,220.0,2132,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
21,229.0,2141,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
22,231.0,2144,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
23,234.0,2146,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
24,235.0,2147,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
25,240.0,2152,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
26,244.0,2156,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
27,245.0,2157,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
28,247.0,2159,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
29,252.0,2164,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
30,253.0,2165,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
31,272.0,2186,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
32,292.0,2189,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
33,293.0,2190,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
34,298.0,2195,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
35,299.0,2196,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
36,302.0,2199,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
37,306.0,2203,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
38,307.0,2204,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
39,312.0,2209,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
40,316.0,2214,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
41,317.0,2215,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
42,318.0,2216,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
43,319.0,2217,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
44,320.0,2218,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
45,321.0,2219,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
46,322.0,2220,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
47,323.0,2221,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
48,324.0,2222,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
49,325.0,2223,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
50,326.0,2224,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
51,327.0,2225,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
52,328.0,2226,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
53,329.0,2227,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
54,330.0,2228,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
55,349.0,2247,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
56,352.0,2249,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
57,353.0,2250,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
58,355.0,2252,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
59,364.0,2260,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
