,c_entry_code,c_entry_desc,c_entry_desc_chn
0,-1,[Missing Data],[Missing Data]
1,0,not available/applicable,未知
2,1,abdication of previous emperor,前帝遜位
3,4,To be Deleted: betrothal,臨時保留，待考。
4,5,promotion from clerical positions,胥吏出職
5,7,purchase,進納補官(捐授)
6,8,yin privilege: Grand Sacrifice,恩蔭: 大禮蔭補
7,12,deposed previous emperor,廢前帝自立
8,13,direct appointment to painting academy,畫院待詔
9,14,imperial summons,徵辟
10,15,direct recruitment into military service,募入軍伍
11,16,To be Deleted: edict of grace,待刪除(内容多種，未知所屬，故臨時保留)。
12,20,emperor or king (dynastic founder),開國君主
13,21,enfeoffment,封土建藩(始封)
14,22,tribute student: by grace,貢生: 恩貢
15,24,investiture as imperial concubine,冊封爲妃嬪
16,26,examination: general,科舉 (籠統)
17,27,examination: child prodigy exam,科舉制舉: 童子舉
18,28,examination: decree exams (general),科舉: 制舉 (籠統)
19,29,examination: jinshi or zhuke (facilitated degree),科舉: 特奏名進士、特奏名諸科 、大挑
20,32,examination: failed decree exam,科舉: 舉制科不第
21,33,examination: failed jinshi or zhuke exams,科舉: 舉進士、諸科不第
22,34,examination: fiscal intendent exam (caoshi),科舉: 漕試舉人
23,36,examination: jinshi (general),科舉: 進士(籠統)
24,37,examination: jinshi (eight conducts),科舉: 進士(八行科)
25,39,examination: juren (prefect/provincial graduates),科舉: 鄉貢舉人
26,42,examination: law (mingfa),科舉: 明法
27,43,examination: medical,科舉: 醫科
28,44,examination: military jinshi (wuju),科舉: 武舉進士
29,46,examination: military juren (wuju),科舉: 武舉人
30,47,school: licentiate,學校: 生員(庠生)
31,48,"examination: various subjects(zhuke) (mingjing, mingfa excluded)",科舉: 正奏名諸科(不含明經、明法)
32,50,school: degree granted to top Upper Hall students,學校: 上舍及第
33,52,xiucai (before the Song),科舉制舉: 秀才(宋及以前)
34,54,examination or school: degree granted by grace,科舉學校: 恩賜出身、特賜出身等
35,57,"granted honorific title (b/c advanced age, righteous conducts, literary talents, etc.)",以耆行等賜爵
36,59,yin privilege: on death of,恩蔭: 遺表蔭補
37,60,yin privilege: on retirement of,恩蔭: 致仕蔭補
38,62,yin privilege: when relative killed for dynastic cause,恩蔭: 死事蔭補
39,64,rank or office by inheritance,世襲(替)
40,69,investiture as empress,冊封爲皇后
41,70,investiture as heir apparent,立儲
42,72,other affinal relations with imperial family,其他與皇室聯姻關係
43,73,marriage to imperial princess,尚宗女 = 駙馬
44,74,grace given to imperial clan,宗子該恩
45,77,military merit: military service or distinction in battle,軍員轉補
46,78,school: military university degree,學校: 武學博士
47,80,office because returned to allegiance,歸明歸正補官
48,83,office granted for literary or artistic skill,以文學、文藝補官
49,90,religion: ordination as monk,得度
