index,c_ethnicity_code,c_group_code,c_subgroup_code,c_altname_code,c_name_chn,c_name,c_ethno_legal_cat,c_romanized,c_surname,c_notes,JiuTangShu,XinTangShu,JiuWudaiShi,XinWudaiShi,SongShi,LiaoShi,JinShi,YuanShi,MingShi,QingShiGao,c_sortorder
0,0,0,0.0,0.0,未詳,unknown,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.0
1,1,1,1.0,1.0,漢,Han,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.0
2,3,2,1.0,1.0,吐蕃,tu bo,,,,本西羌屬，蓋百有五十種（新唐書）；本漢西羌之地，或云南涼禿髮利鹿孤之後，其子孫以禿髮為國號，語訛為吐蕃（舊五代史）；本漢西羌之地，其種落莫知所出．或云南涼禿髮利鹿孤之後，其子孫以禿髮為國號，語訛故謂之吐蕃（宋史）,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0
3,4,4,1.0,1.0,突厥,tu jue,,Turk,,突厥阿史那氏，蓋古匈奴北部也．居金山之陽，臣于蠕蠕，種裔繁衍．至吐門，遂彊大{A14B}{A14B}隋大業之亂，始畢可汗咄吉嗣立，華人多往依之，契丹、室韋、吐谷渾、高昌皆役屬（新唐書）,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34.0
4,5,5,1.0,1.0,契丹,qi dan,,Kitan,,"""本東胡種，其先為匈奴所破，保鮮卑山．{A14B}{A14B}逃潢水之南，黃龍之北．至元魏，自號曰契丹{A14B}{A14B}其君大賀氏，有勝兵四萬，析八部，臣于突厥（新唐書）；古匈奴之種也（舊五代史）；契丹自後魏以來，名見中國．或曰與庫莫奚同類而異種{A14B}{A14B}得鮮卑之故地，故又以為鮮卑之遺種{A14B}{A14B}後分為八部，其一曰伹皆利部，二曰乙室活部，三曰實活部，四曰納尾部，五曰頻沒部，六曰內會雞部，七曰集解部，八曰奚嗢部（新五代史），四庫本作後分為八部，其一曰達爾扎部，二曰伊斯琿部，三曰舎琿部，四曰諾爾威部，五曰頗摩部，六曰納古齊部，七曰濟勒勤部，八曰實衮部. C. Atwood note:Kitan (this is conventional Chinese transcription dating from the Tang, for what in Mongolian is usually Kitad)""",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.0
5,6,3,1.0,1.0,廻紇,hui he,,Uyghur,,Ethnicity code 3;其先匈奴之裔也，在後魏時，號鐵勒部落．其微小，其俗驍強，依託高車，臣屬突厥，近謂之特勒（舊唐書）；其先匈奴也，俗多乘高輪車，元魏時亦號高車部，或曰敕勒，訛為鐵勒．其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）；其先匈奴之種也．後魏時，號為鐵勒，亦名回紇．唐元和四年，本國可汗遣使上言，改為回鶻，義取迴旋搏擊，如鶻之迅捷也（舊五代史）；本匈奴之別裔，在天德西北娑陵水上．後魏號鐵勒，唐初號特勒，後稱回紇（宋史）,,,,,,,,,,,5.0
6,7,3,1.0,2.0,回鶻,hui he,,Uyghur,,Ethnicity code 3;其先匈奴之裔也，在後魏時，號鐵勒部落．其微小，其俗驍強，依託高車，臣屬突厥，近謂之特勒（舊唐書）；其先匈奴也，俗多乘高輪車，元魏時亦號高車部，或曰敕勒，訛為鐵勒．其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）；其先匈奴之種也．後魏時，號為鐵勒，亦名回紇．唐元和四年，本國可汗遣使上言，改為回鶻，義取迴旋搏擊，如鶻之迅捷也（舊五代史）；本匈奴之別裔，在天德西北娑陵水上．後魏號鐵勒，唐初號特勒，後稱回紇（宋史）,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6.0
7,8,3,1.0,3.0,回回,hui hui,,Uyghur,,"""C. Atwood note:Huihui and Huihe are in the process of evolution from """"Uyghur"""" to """"Turkestani"""" to """"Muslim"""" in the Yuan; it's hard to tell in any one instance what is meant. """,,,,,,,,,,,7.0
8,9,9,1.0,1.0,渤海,bo hai,,,,"Ethnicity code 9;""本粟末靺鞨附高麗者，姓大氏（新唐書）；渤海，本號靺鞨，高麗之別種也（新五代史）；渤海本高麗之別種．唐高宗平高麗，徙其人居中國．則天萬歲通天中，契丹攻陷營府，高麗別種大祚榮走保遼東，睿宗以為忽汗州都督，封渤海郡王，因自稱渤海國，併有扶餘、肅慎等十餘國（宋史; In Yuan: C. Atwood note:Probably remnant of the Bohai people of eastern Manchuria, conquered by the Kitan Liao and deported through the empire; ethno-legal status Han.""",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.0
9,10,170,3.0,1.0,高麗,gao li,,Koryo,,C. Atwood note:Korean,,,,,,,,,,,388.0
