,c_office_id_backup,c_office_chn_backup,c_office_id,c_office_chn
0,429,檢校水部員外郎,364,檢校水部員外郎
1,430,樞密太尉,365,樞密太尉
2,431,諫官,366,諫官
3,434,諫議大夫,367,諫議大夫
4,437,諫院,368,諫院
5,438,將軍,371,將軍
6,439,將仕郎,372,將仕郎
7,442,講筵官,374,講筵官
8,444,校理,381,校理
9,446,教授,382,教授
10,447,節度使,383,節度使
11,451,節度副使,384,節度副使
12,452,節度行軍司馬,385,節度行軍司馬
13,456,防禦副使,387,防禦副使
14,457,團練副使,388,團練副使
15,460,州別駕,389,州別駕
16,461,州長史,391,州長史
17,463,州司馬,392,州司馬
18,465,州司士參軍 (散官),394,州司士參軍 (散官)
19,468,州文學參軍 (散官),395,州文學參軍 (散官)
20,470,州助教,396,州助教
21,472,節度判官,398,節度判官
22,473,節度掌書記,400,節度掌書記
23,474,金紫光祿大夫,401,金紫光祿大夫
24,475,左金紫光祿大夫,402,左金紫光祿大夫
25,476,右金紫光祿大夫,403,右金紫光祿大夫
26,477,進奏院,404,進奏院
27,478,經略使,406,經略使
28,479,糾察在京刑獄司,407,糾察在京刑獄司
29,480,九寺五監,408,九寺五監
30,481,郡公,409,郡公
31,484,軍器監丞,410,軍器監丞
32,485,軍事判官,411,軍事判官
33,486,郡王,412,郡王
34,487,京府左軍巡判官,413,京府左軍巡判官
35,488,開封府判官,414,開封府判官
36,489,開府儀同三司,415,開府儀同三司
37,490,開國伯,416,開國伯
38,491,開國公,417,開國公
39,492,開國侯,418,開國侯
40,493,開國郡公,419,開國郡公
41,494,開國男,420,開國男
42,495,開國縣公,421,開國縣公
43,496,開國子,422,開國子
44,497,考課院,423,考課院
45,498,課績院,424,課績院
46,499,客省副使,425,客省副使
47,500,客省使,426,客省使
48,502,庫部,427,庫部
49,504,郎官,428,郎官
50,505,郎中,429,郎中
51,507,禮賓院,430,禮賓院
52,508,禮部,431,禮部
53,509,禮部尚書,434,禮部尚書
54,510,禮部侍郎,437,禮部侍郎
55,511,樞密院禮房副承旨,438,樞密院禮房副承旨
56,512,禮記博士,439,禮記博士
57,513,理檢使,442,理檢使
58,514,理檢院,444,理檢院
59,515,禮儀院,446,禮儀院
60,517,吏部,447,吏部
61,518,吏部尚書,451,吏部尚書
62,520,吏部侍郎,452,吏部侍郎
63,521,樞密院吏房副承旨,456,樞密院吏房副承旨
64,522,兩府,457,兩府
65,523,兩省,460,兩省
66,524,兩制,461,兩制
67,526,靈臺郎,463,靈臺郎
68,530,流內銓（吏部）,465,流內銓（吏部）
69,532,流外銓,468,流外銓
70,533,六部,470,六部
71,534,六部尚書,472,六部尚書
72,535,六部侍郎,473,六部侍郎
73,536,龍圖閣待制,474,龍圖閣待制
74,537,龍圖閣學士,475,龍圖閣學士
75,538,龍圖閣直學士,476,龍圖閣直學士
76,539,錄事參軍事,477,錄事參軍事
77,540,律學助教,478,律學助教
78,541,毛詩博士,479,毛詩博士
79,542,門下省,480,門下省
80,544,秘閣,481,秘閣
81,545,秘閣校理,484,秘閣校理
82,546,秘書丞,485,秘書丞
83,547,秘書省監,486,秘書省監
84,549,秘書郎,487,秘書郎
85,550,秘書省少監,488,秘書省少監
86,551,秘書省校書郎,489,秘書省校書郎
87,552,秘書省正字,490,秘書省正字
88,553,磨勘京朝官院,491,磨勘京朝官院
89,554,磨勘諸路提點刑獄司,492,磨勘諸路提點刑獄司
90,555,牧,493,牧
91,556,幕職官,494,幕職官
92,558,南班官,495,南班官
93,559,內藏庫,496,內藏庫
94,561,內殿承制,497,內殿承制
95,563,內殿崇班,498,內殿崇班
96,566,內諸司使,499,內諸司使
97,567,判,500,判
98,570,判官（府州軍監）,502,判官（府州軍監）
99,572,判司簿尉,504,判司簿尉
100,573,判寺事（大理等寺）,505,判寺事（大理等寺）
101,575,平章軍國重事,507,平章軍國重事
102,576,僕射,508,僕射
103,579,騎都尉,509,騎都尉
104,580,起居郎,510,起居郎
105,582,起居舍人,511,起居舍人
106,584,起居院,512,起居院
107,586,簽書...事,513,簽書...事
108,587,簽書判官廳公事,514,簽書判官廳公事
109,588,前行,515,前行
110,589,挈壺正,517,挈壺正
111,590,卿,518,卿
112,591,輕車都尉,520,輕車都尉
113,592,卿監,521,卿監
114,593,司天監秋官正,522,司天監秋官正
115,594,權,523,權
116,595,權發遣,524,權發遣
117,596,勸農使,526,勸農使
118,597,群牧司,530,群牧司
119,598,儒林郎,532,儒林郎
120,599,三班奉職,533,三班奉職
121,600,三班借差,534,三班借差
122,601,三班借職,535,三班借職
123,603,三丞,536,三丞
124,604,三公,537,三公
125,606,三館,538,三館
126,607,散騎常侍,539,散騎常侍
127,608,三少,540,三少
128,609,三省六部,541,三省六部
129,610,三師,542,三師
130,611,三司,544,三司
131,613,三司判官,545,三司判官
132,615,殿中省尚乘奉御,546,殿中省尚乘奉御
133,616,上護軍,547,上護軍
134,617,殿中省尚輦奉御,549,殿中省尚輦奉御
135,618,上騎都尉,550,上騎都尉
136,619,上輕車都尉,551,上輕車都尉
137,620,殿中省尚舍奉御,552,殿中省尚舍奉御
138,621,殿中省尚食奉御,553,殿中省尚食奉御
139,622,尚書,554,尚書
140,623,尚書博士,555,尚書博士
141,624,尚書令,556,尚書令
142,626,尚書省,558,尚書省
