index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
0,3,011070600,15060106,0,0,0,0,0,0
1,7,011030500,15030105,0,0,0,0,0,0
2,8,011030500,15030105,0,0,0,0,0,0
3,9,011030500,15030105,0,0,0,0,0,0
4,10,011030500,15030105,0,0,0,0,0,0
5,11,011030500,15030105,0,0,0,0,0,0
6,12,011040714,1503020714,0,0,0,0,0,0
7,16,011030500,15030105,0,0,0,0,0,0
8,19,011030500,15030105,0,0,0,0,0,0
9,21,011030500,15030105,0,0,0,0,0,0
10,23,011070200,15060102,0,0,0,0,0,0
11,25,011070200,15060102,0,0,0,0,0,0
12,27,011040306,1503020306,0,0,0,0,0,0
13,28,011040306,1503020306,0,0,0,0,0,0
14,31,011061100,150511,0,0,0,0,0,0
15,33,011030500,15030105,0,0,0,0,0,0
16,36,011030500,15030105,0,0,0,0,0,0
17,37,011040302,1503020302,0,0,0,0,0,0
18,39,011040302,1503020302,0,0,0,0,0,0
19,40,011030500,15030105,0,0,0,0,0,0
20,41,9999,1599,0,0,0,0,0,0
21,43,011040713,1503020713,0,0,0,0,0,0
22,44,011040713,1503020713,0,0,0,0,0,0
23,48,011040712,1503020712,0,0,0,0,0,0
24,51,011030500,15030105,0,0,0,0,0,0
25,53,011070200,15060102,0,0,0,0,0,0
26,54,011020500,150205,0,0,0,0,0,0
27,54,011040101,1503020101,0,0,0,0,0,0
28,59,011030500,15030105,0,0,0,0,0,0
29,69,011030500,15030105,0,0,0,0,0,0
30,70,011030500,15030105,0,0,0,0,0,0
31,71,011070500,15060105,0,0,0,0,0,0
32,77,011040103,1503020103,0,0,0,0,0,0
33,79,011070200,15060102,0,0,0,0,0,0
34,81,011030400,15030104,0,0,0,0,0,0
35,82,011020300,150203,0,0,0,0,0,0
36,85,011040708,1503020708,0,0,0,0,0,0
37,89,011040709,1503020709,0,0,0,0,0,0
38,91,011020300,150203,0,0,0,0,0,0
39,92,011040103,1503020103,0,0,0,0,0,0
40,94,011070800,15060108,0,0,0,0,0,0
41,95,011040708,1503020708,0,0,0,0,0,0
42,96,011031100,15030111,0,0,0,0,0,0
43,99,011070500,15060105,0,0,0,0,0,0
44,100,011040708,1503020708,0,0,0,0,0,0
45,105,011030500,15030105,0,0,0,0,0,0
46,106,011030500,15030105,0,0,0,0,0,0
47,107,011030400,15030104,0,0,0,0,0,0
48,108,011030500,15030105,0,0,0,0,0,0
49,111,011030500,15030105,0,0,0,0,0,0
50,113,011030500,15030105,0,0,0,0,0,0
51,115,011030500,15030105,0,0,0,0,0,0
52,117,011030500,15030105,0,0,0,0,0,0
53,120,011020200,150202,0,0,0,0,0,0
54,122,011030500,15030105,0,0,0,0,0,0
55,123,011030400,15030104,0,0,0,0,0,0
56,124,011080200,15060202,0,0,0,0,0,0
57,125,011030500,15030105,0,0,0,0,0,0
58,126,011070200,15060102,0,0,0,0,0,0
59,127,011070200,15060102,0,0,0,0,0,0
60,128,011070200,15060102,0,0,0,0,0,0
61,129,011020500,150205,0,0,0,0,0,0
62,129,011040102,1503020102,0,0,0,0,0,0
63,134,011070900,15060109,0,0,0,0,0,0
64,136,9999,1599,0,0,0,0,0,0
65,137,011040305,1503020305,0,0,0,0,0,0
66,138,011040500,15030205,0,0,0,0,0,0
67,141,011040304,1503020304,0,0,0,0,0,0
68,142,011040304,1503020304,0,0,0,0,0,0
69,143,011030400,15030104,0,0,0,0,0,0
70,144,011060500,150505,0,0,0,0,0,0
71,146,9999,1599,0,0,0,0,0,0
72,147,9999,1599,0,0,0,0,0,0
73,148,011080100,15060201,0,0,0,0,0,0
74,148,011080200,15060202,0,0,0,0,0,0
75,149,011020500,150205,0,0,0,0,0,0
76,151,011040302,1503020302,0,0,0,0,0,0
77,152,011070300,15060103,0,0,0,0,0,0
78,153,011040800,15030208,0,0,0,0,0,0
79,154,011030300,15030103,0,0,0,0,0,0
80,155,011090101,15070101,0,0,0,0,0,0
81,156,011090201,15070201,0,0,0,0,0,0
82,157,011090201,15070201,0,0,0,0,0,0
83,158,011090101,15070101,0,0,0,0,0,0
84,159,011090201,15070201,0,0,0,0,0,0
85,160,011090201,15070201,0,0,0,0,0,0
86,161,011090101,15070101,0,0,0,0,0,0
87,162,011090201,15070201,0,0,0,0,0,0
88,163,011090201,15070201,0,0,0,0,0,0
89,164,011090101,15070101,0,0,0,0,0,0
90,165,011090201,15070201,0,0,0,0,0,0
91,166,011090201,15070201,0,0,0,0,0,0
92,167,011090101,15070101,0,0,0,0,0,0
93,168,011090201,15070201,0,0,0,0,0,0
94,169,011090201,15070201,0,0,0,0,0,0
95,170,011090101,15070101,0,0,0,0,0,0
96,171,011090201,15070201,0,0,0,0,0,0
97,172,011090201,15070201,0,0,0,0,0,0
98,173,011090201,15070201,0,0,0,0,0,0
99,174,011090201,15070201,0,0,0,0,0,0
100,175,011090201,15070201,0,0,0,0,0,0
101,176,9999,1599,0,0,0,0,0,0
102,177,011090101,15070101,0,0,0,0,0,0
103,178,011090201,15070201,0,0,0,0,0,0
104,179,011090201,15070201,0,0,0,0,0,0
105,180,011090101,15070101,0,0,0,0,0,0
106,181,011090201,15070201,0,0,0,0,0,0
107,182,011090201,15070201,0,0,0,0,0,0
108,183,011090101,15070101,0,0,0,0,0,0
109,184,011090201,15070201,0,0,0,0,0,0
110,185,011090201,15070201,0,0,0,0,0,0
111,186,011090101,15070101,0,0,0,0,0,0
112,187,9999,1599,0,0,0,0,0,0
