,c_office_type_node_id,c_tts_node_id,c_office_type_desc,c_office_type_desc_chn,c_parent_id
0,0,0,All Offices Categories,所有門類,0
1,06,06,Tang Dynasty,唐朝,0
2,0601,0601,Imperial Family ,帝后制度類,06
3,060102,060102,Imperial Offices ,帝后門,0601
4,06010202,06010202,[not yet translated],內命婦,060102
5,060103,060103,Palace Administration ,殿中省門,0601
6,06010302,06010302,[not yet translated],尚食局【41-44】,060103
7,06010303,06010303,[not yet translated],尚藥局,060103
8,06010304,06010304,[not yet translated],尚衣局,060103
9,06010305,06010305,[not yet translated],尚舍局,060103
10,06010306,06010306,[not yet translated],尚乘局,060103
11,06010307,06010307,[not yet translated],尚輦局,060103
12,060104,060104,Palace Domestic Service ,內侍省門,0601
13,06010402,06010402,[not yet translated],內謁者,060104
14,06010403,06010403,[not yet translated],掖庭局,060104
15,06010404,06010404,[not yet translated],宮闈局,060104
16,06010405,06010405,[not yet translated],奚官局,060104
17,06010406,06010406,[not yet translated],內僕局,060104
18,06010407,06010407,[not yet translated],太子內坊局,060104
19,06010408,06010408,[not yet translated],內府局,060104
20,060105,060105,Palace Offices ,宮官門,0601
21,06010502,06010502,[not yet translated],尚宮局,060105
22,06010503,06010503,[not yet translated],尚儀局,060105
23,06010504,06010504,[not yet translated],尚服局,060105
24,06010505,06010505,[not yet translated],尚食局【148】,060105
25,06010506,06010506,[not yet translated],尚寢局,060105
26,06010507,06010507,[not yet translated],尚功局,060105
27,06010508,06010508,[not yet translated],宮正,060105
28,060106,060106,Princesses' Establishment and Commandant Escort Offices ,公主與駙馬門,0601
29,0602,0602,Palace Institutions ,東官官及王府官類,06
30,060202,060202,Eastern Palace ,東宮官門,0602
31,06020202,06020202,[not yet translated],太子六傅,060202
32,06020203,06020203,[not yet translated],太子詹事府,060202
33,06020204,06020204,[not yet translated],太子左春坊,060202
34,06020205,06020205,[not yet translated],崇文館,060202
35,06020206,06020206,[not yet translated],司經局,060202
36,06020207,06020207,[not yet translated],典膳局,060202
37,06020208,06020208,[not yet translated],藥藏局,060202
38,06020209,06020209,[not yet translated],內直局,060202
39,06020210,06020210,[not yet translated],典設局,060202
40,06020211,06020211,[not yet translated],宮門局,060202
41,06020212,06020212,[not yet translated],太子右春坊,060202
42,06020213,06020213,[not yet translated],太子內官,060202
43,06020214,06020214,[not yet translated],太子家令寺,060202
44,06020215,06020215,[not yet translated],食官署,060202
45,06020216,06020216,[not yet translated],典倉署,060202
46,06020217,06020217,[not yet translated],司藏署,060202
47,06020218,06020218,[not yet translated],太子率更寺,060202
48,06020219,06020219,[not yet translated],太子僕寺,060202
49,06020220,06020220,[not yet translated],廄牧署,060202
50,06020221,06020221,[not yet translated],太子左衛率府,060202
51,06020222,06020222,[not yet translated],太子右衛率府,060202
52,06020223,06020223,[not yet translated],親府,060202
53,06020224,06020224,[not yet translated],勳府,060202
54,06020225,06020225,[not yet translated],翊府,060202
55,06020226,06020226,[not yet translated],太子左司禦率府,060202
56,06020227,06020227,[not yet translated],太子右司禦率府,060202
57,06020228,06020228,[not yet translated],太子左清道率府,060202
58,06020229,06020229,[not yet translated],太子右清道率府,060202
59,06020230,06020230,[not yet translated],太子左監門率府,060202
60,06020231,06020231,[not yet translated],太子右監門率府,060202
61,06020232,06020232,[not yet translated],太子左內率府,060202
62,06020233,06020233,[not yet translated],太子右內率府,060202
63,060203,060203,Imperial Princes' Establishment ,親王府與王府官門,0602
64,06020302,06020302,[not yet translated],親事府,060203
65,06020303,06020303,[not yet translated],帳內府,060203
66,060204,060204,Kingdom Offices ,親王國門,0602
67,06020402,06020402,[not yet translated],公主邑司門,060204
68,0603,0603,Palace Library ,秘書省類,06
69,060302,060302,Palace Library ,秘書省,0603
70,06030202,06030202,[not yet translated],著作局,060302
71,06030203,06030203,[not yet translated],太史局,060302
72,0604,0604,Three Departments ,三省類,06
73,060402,060402,[not yet translated],司天臺【530-543】,0604
74,060403,060403,Chancellery ,門下省門,0604
75,06040302,06040302,[not yet translated],司天臺【558】,060403
76,0604030202,06040303,[not yet translated],五官,06040302
