index,c_office_type_node_id,c_tts_node_id,c_office_type_desc,c_office_type_desc_chn,c_parent_id
0,06,06,Tang Dynasty,唐朝,0
1,06101,06101,Imperial Family ,帝后制度類,06
2,0610102,0610102,Imperial Offices ,帝后門,06101
3,061010202,061010202,[not yet translated],內命婦,0610102
4,0610103,0610103,Palace Administration ,殿中省門,06101
5,061010302,061010302,[not yet translated],尚食局【41-44】,0610103
6,061010303,061010303,[not yet translated],尚藥局,0610103
7,061010304,061010304,[not yet translated],尚衣局,0610103
8,061010305,061010305,[not yet translated],尚舍局,0610103
9,061010306,061010306,[not yet translated],尚乘局,0610103
10,061010307,061010307,[not yet translated],尚輦局,0610103
11,0610104,0610104,Palace Domestic Service ,內侍省門,06101
12,061010402,061010402,[not yet translated],內謁者,0610104
13,061010403,061010403,[not yet translated],掖庭局,0610104
14,061010404,061010404,[not yet translated],宮闈局,0610104
15,061010405,061010405,[not yet translated],奚官局,0610104
16,061010406,061010406,[not yet translated],內僕局,0610104
17,061010407,061010407,[not yet translated],太子內坊局,0610104
18,061010408,061010408,[not yet translated],內府局,0610104
19,0610105,0610105,Palace Offices ,宮官門,06101
20,061010502,061010502,[not yet translated],尚宮局,0610105
21,061010503,061010503,[not yet translated],尚儀局,0610105
22,061010504,061010504,[not yet translated],尚服局,0610105
23,061010505,061010505,[not yet translated],尚食局【148】,0610105
24,061010506,061010506,[not yet translated],尚寢局,0610105
25,061010507,061010507,[not yet translated],尚功局,0610105
26,061010508,061010508,[not yet translated],宮正,0610105
27,0610106,0610106,Princesses' Establishment and Commandant Escort Offices ,公主與駙馬門,06101
28,06102,06102,Palace Institutions ,東官官及王府官類,06
29,0610202,0610202,Eastern Palace ,東宮官門,06102
30,061020202,061020202,[not yet translated],太子六傅,0610202
31,061020203,061020203,[not yet translated],太子詹事府,0610202
32,061020204,061020204,[not yet translated],太子左春坊,0610202
33,061020205,061020205,[not yet translated],崇文館,0610202
34,061020206,061020206,[not yet translated],司經局,0610202
35,061020207,061020207,[not yet translated],典膳局,0610202
36,061020208,061020208,[not yet translated],藥藏局,0610202
37,061020209,061020209,[not yet translated],內直局,0610202
38,061020210,061020210,[not yet translated],典設局,0610202
39,061020211,061020211,[not yet translated],宮門局,0610202
40,061020212,061020212,[not yet translated],太子右春坊,0610202
41,061020213,061020213,[not yet translated],太子內官,0610202
42,061020214,061020214,[not yet translated],太子家令寺,0610202
43,061020215,061020215,[not yet translated],食官署,0610202
44,061020216,061020216,[not yet translated],典倉署,0610202
45,061020217,061020217,[not yet translated],司藏署,0610202
46,061020218,061020218,[not yet translated],太子率更寺,0610202
47,061020219,061020219,[not yet translated],太子僕寺,0610202
48,061020220,061020220,[not yet translated],廄牧署,0610202
49,061020221,061020221,[not yet translated],太子左衛率府,0610202
50,061020222,061020222,[not yet translated],太子右衛率府,0610202
51,061020223,061020223,[not yet translated],親府,0610202
52,061020224,061020224,[not yet translated],勳府,0610202
53,061020225,061020225,[not yet translated],翊府,0610202
54,061020226,061020226,[not yet translated],太子左司禦率府,0610202
55,061020227,061020227,[not yet translated],太子右司禦率府,0610202
56,061020228,061020228,[not yet translated],太子左清道率府,0610202
57,061020229,061020229,[not yet translated],太子右清道率府,0610202
58,061020230,061020230,[not yet translated],太子左監門率府,0610202
59,061020231,061020231,[not yet translated],太子右監門率府,0610202
60,061020232,061020232,[not yet translated],太子左內率府,0610202
61,061020233,061020233,[not yet translated],太子右內率府,0610202
62,0610203,0610203,Imperial Princes' Establishment ,親王府與王府官門,06102
63,061020302,061020302,[not yet translated],親事府,0610203
64,061020303,061020303,[not yet translated],帳內府,0610203
65,0610204,0610204,Kingdom Offices ,親王國門,06102
66,061020402,061020402,[not yet translated],公主邑司門,0610204
67,06103,06103,Palace Library ,秘書省類,06
68,0610302,0610302,Palace Library ,秘書省,06103
69,061030202,061030202,[not yet translated],著作局,0610302
70,061030203,061030203,[not yet translated],太史局,0610302
71,06104,06104,Three Departments ,三省類,06
72,0610402,0610402,[not yet translated],司天臺【530-543】,06104
73,0610403,0610403,Chancellery ,門下省門,06104
74,061040302,061040302,[not yet translated],司天臺【558】,0610403
75,06104030202,061040303,[not yet translated],五官,061040302
76,061040303,061040304,[not yet translated],弘文館/弘文館/昭文館,0610403
77,06104030302,061040305,[not yet translated],城門郎，符寶郎與同事舍人,061040303
78,06104030303,061040306,[not yet translated],奉宸府,061040303
79,061040304,061040307,[not yet translated],記注官,0610403
80,0610404,0610404,Secretariat ,中書省門,06104
81,061040402,061040402,[not yet translated],集賢殿書院,0610404
82,061040403,061040403,[not yet translated],史館,0610404
83,061040404,061040404,[not yet translated],匭使院,0610404
84,061040405,061040405,[not yet translated],翰林院,0610404
85,06104040502,061040406,[not yet translated],翰林學士院,061040405
86,061040406,061040407,[not yet translated],內教坊,0610404
87,061040407,061040408,[not yet translated],習藝館,0610404
88,0610405,0610405,Department of State Affairs ,尚書省門,06104
89,061040502,061040502,[not yet translated],尚書都省,0610405
90,061040503,061040503,[not yet translated],尚書省吏部,0610405
91,06104050302,061040504,[not yet translated],吏部司,061040503
92,06104050303,061040505,[not yet translated],司封司,061040503
93,06104050304,061040506,[not yet translated],司勳司,061040503
94,06104050305,061040507,[not yet translated],考功司,061040503
95,061040504,061040508,[not yet translated],尚書省戶部,0610405
96,06104050402,061040509,[not yet translated],戶部司,061040504
97,06104050403,061040510,[not yet translated],度支司,061040504
98,06104050404,061040511,[not yet translated],金部司,061040504
99,06104050405,061040512,[not yet translated],倉部司,061040504
100,061040505,061040513,[not yet translated],尚書省禮部,0610405
101,06104050502,061040514,[not yet translated],禮部司,061040505
102,06104050503,061040515,[not yet translated],飼部司,061040505
103,06104050504,061040516,[not yet translated],主客司,061040505
104,06104050505,061040517,[not yet translated],膳部司,061040505
105,061040506,061040518,[not yet translated],尚書省兵部,0610405
106,06104050602,061040519,[not yet translated],兵部司,061040506
107,06104050603,061040520,[not yet translated],職方司,061040506
108,06104050604,061040521,[not yet translated],駕部司,061040506
109,06104050605,061040522,[not yet translated],庫部司,061040506
110,061040507,061040523,[not yet translated],尚書省刑部,0610405
111,06104050702,061040524,[not yet translated],刑部司,061040507
112,06104050703,061040525,[not yet translated],都官司,061040507
113,06104050704,061040526,[not yet translated],比部司,061040507
114,06104050705,061040527,[not yet translated],司門司,061040507
115,061040508,061040528,[not yet translated],尚書省工部,0610405
116,06104050802,061040529,[not yet translated],工部司,061040508
117,06104050803,061040530,[not yet translated],屯田司,061040508
118,06104050804,061040531,[not yet translated],虞部司,061040508
119,06104050805,061040532,[not yet translated],稅部司,061040508
120,0610406,0610406,Secretariat-Chancellery ,中書門下/政事堂門,06104
121,061040602,061040602,[not yet translated],吏房,0610406
122,061040603,061040603,[not yet translated],戶房,0610406
123,061040604,061040604,[not yet translated],兵房,0610406
124,061040605,061040605,[not yet translated],禮房,0610406
125,061040606,061040606,[not yet translated],樞機房,0610406
126,0610407,0610407,Preceptors and Dukes ,師保門,06104
127,061040702,061040702,[not yet translated],三師,0610407
128,061040703,061040703,[not yet translated],三公,0610407
129,06105,06105,Censorate ,御史臺類,06
130,0610502,0610502,Headquarters Bureau ,臺院,06105
131,0610503,0610503,Palace Bureau ,殿院,06105
132,0610504,0610504,Investigation Bureau ,察院,06105
133,0610505,0610505,Auxiliary Censorate ,東都留臺,06105
134,06106,06106,Chief Ministers and Directors Offices ,寺監類,06
135,0610602,0610602,Courts of Imperial Sacrifices ,太常寺門,06106
136,061060202,061060202,[not yet translated],太常寺,0610602
137,061060203,061060203,[not yet translated],兩京郊社署,0610602
138,061060204,061060204,[not yet translated],諸陵署,0610602
139,061060205,061060205,[not yet translated],諸太子陵署,0610602
140,061060206,061060206,[not yet translated],太樂署,0610602
141,061060207,061060207,[not yet translated],鼓吹署,0610602
142,061060208,061060208,[not yet translated],太醫署,0610602
143,061060209,061060209,[not yet translated],太卜署,0610602
144,061060210,061060210,[not yet translated],廩犧署,0610602
145,061060211,061060211,[not yet translated],汾祠署,0610602
146,061060212,061060212,[not yet translated],兩京齊太公廟署,0610602
147,0610603,0610603,Imperial Entertainments ,光祿寺門,06106
148,061060302,061060302,[not yet translated],太官署,0610603
149,061060303,061060303,[not yet translated],珍羞署,0610603
150,061060304,061060304,[not yet translated],良醞署,0610603
151,061060305,061060305,[not yet translated],掌醢署,0610603
152,0610604,0610604,Imperial Regalia ,衛尉寺門,06106
153,061060402,061060402,[not yet translated],兩京武庫署,0610604
154,061060403,061060403,[not yet translated],武器署,0610604
155,061060404,061060404,[not yet translated],守宮署,0610604
156,0610605,0610605,Imperial Clan ,宗正寺門,06106
157,061060502,061060502,[not yet translated],諸陵台,0610605
158,061060503,061060503,[not yet translated],崇玄署,0610605
159,0610606,0610606,Imperial Stud ,太僕寺門,06106
160,061060602,061060602,[not yet translated],乘黄署,0610606
161,061060603,061060603,[not yet translated],典厩署,0610606
162,061060604,061060604,[not yet translated],典牧署,0610606
163,061060605,061060605,[not yet translated],車府署,0610606
164,061060606,061060606,[not yet translated],諸牧監,0610606
165,06106060602,061060607,[not yet translated],東宮諸牧監,061060606
166,061060607,061060608,[not yet translated],沙苑監,0610606
167,0610607,0610607,State Ceremonial ,鴻臚寺門,06106
168,061060702,061060702,[not yet translated],典客署,0610607
169,061060703,061060703,[not yet translated],司儀署,0610607
170,0610608,0610608,Imperial Granaries ,司農寺門,06106
171,061060802,061060802,[not yet translated],上林署,0610608
172,061060803,061060803,[not yet translated],太倉署,0610608
173,061060804,061060804,[not yet translated],鉤盾署,0610608
174,061060805,061060805,[not yet translated],䆃官署,0610608
175,061060806,061060806,[not yet translated],諸倉署,0610608
176,061060807,061060807,[not yet translated],司竹監,0610608
177,061060808,061060808,[not yet translated],慶善監,0610608
178,061060809,061060809,[not yet translated],石門監,0610608
179,061060810,061060810,[not yet translated],溫泉湯監,0610608
180,061060811,061060811,[not yet translated],京都諸宮苑總監,0610608
181,061060812,061060812,[not yet translated],京都諸園苑四面監,0610608
182,061060813,061060813,[not yet translated],京都諸園苑四面監,0610608
183,061060814,061060814,[not yet translated],九成宮總監,0610608
184,061060815,061060815,[not yet translated],諸鹽池監,0610608
185,061060816,061060816,[not yet translated],諸屯監,0610608
186,0610609,0610609,Imperial Treasury ,太府寺門,06106
187,061060902,061060902,[not yet translated],兩京諸市署,0610609
188,061060903,061060903,[not yet translated],平準署,0610609
189,061060904,061060904,[not yet translated],左藏署,0610609
190,061060905,061060905,[not yet translated],右藏署,0610609
191,061060906,061060906,[not yet translated],常平署,0610609
192,0610610,0610610,Judicial Review ,大理寺門,06106
193,0610611,0610611,Directorate of Education ,國子監門,06106
194,061061102,061061102,[not yet translated],國子學,0610611
195,061061103,061061103,[not yet translated],太學,0610611
196,061061104,061061104,[not yet translated],廣文館,0610611
197,061061105,061061105,[not yet translated],四門學,0610611
198,061061106,061061106,[not yet translated],律學,0610611
199,061061107,061061107,[not yet translated],書學,0610611
200,061061108,061061108,[not yet translated],算學,0610611
201,0610612,0610612,Directorate of Imperial Manufactories ,少府監門,06106
202,061061202,061061202,[not yet translated],中尚署,0610612
203,061061203,061061203,[not yet translated],左尚署,0610612
204,061061204,061061204,[not yet translated],右尚署,0610612
205,061061205,061061205,[not yet translated],織染署,0610612
206,061061206,061061206,[not yet translated],掌冶署,0610612
207,061061207,061061207,[not yet translated],諸冶監,0610612
208,061061208,061061208,[not yet translated],互市監,0610612
209,0610613,0610613,Directorate for Weaponry ,軍器監門,06106
210,061061302,061061302,[not yet translated],甲坊署,0610613
211,061061303,061061303,[not yet translated],弩坊署,0610613
212,0610614,0610614,Directorate for the Palace Buildings ,將作監門,06106
213,061061402,061061402,[not yet translated],左校署,0610614
214,061061403,061061403,[not yet translated],右校署,0610614
215,061061404,061061404,[not yet translated],中校署,0610614
216,061061405,061061405,[not yet translated],甄官署,0610614
217,061061406,061061406,[not yet translated],百工監,0610614
218,061061407,061061407,[not yet translated],就穀監,0610614
219,061061408,061061408,[not yet translated],庫穀監,0610614
220,061061409,061061409,[not yet translated],斜穀監,0610614
221,061061410,061061410,[not yet translated],太陰監,0610614
222,061061411,061061411,[not yet translated],伊陽監,0610614
223,0610615,0610615,Directorate of Waterways ,都水監門,06106
224,061061502,061061502,[not yet translated],舟檝署,0610615
225,061061503,061061503,[not yet translated],河渠署,0610615
226,061061504,061061504,[not yet translated],諸津,0610615
227,0610616,0610616,Directorate of Astronomy ,司天監門,06106
228,06107,06107,Rank Offices ,品位官類,06
229,0610702,0610702,Prestige Titles (Civil) ,文散官門,06107
230,0610703,0610703,Prestige Titles (Military) ,武散官門,06107
231,06108,06108,Military Offices ,武官類,06
232,0610802,0610802,Six Imperial Armies ,六軍門,06108
233,061080202,061080202,[not yet translated],龍武軍,0610802
234,06108020202,061080203,[not yet translated],左龍武軍,061080202
235,06108020203,061080204,[not yet translated],右龍武軍,061080202
236,061080203,061080205,[not yet translated],神武軍,0610802
237,06108020302,061080206,[not yet translated],左神武軍,061080203
238,06108020303,061080207,[not yet translated],右神武軍,061080203
239,061080204,061080208,[not yet translated],羽林軍,0610802
240,06108020402,061080209,[not yet translated],左羽林軍,061080204
241,06108020403,061080210,[not yet translated],右羽林軍,061080204
242,06108020404,061080211,[not yet translated],左羽林軍翊中郎將府,061080204
243,0610803,0610803,Heavenly Strategy Army Garrison ,天策上軍府,06108
244,0610804,0610804,Sixteen Garrison Commands ,中央衛軍十六衛府門,06108
245,061080402,061080402,[not yet translated],左右衛,0610804
246,06108040202,061080403,[not yet translated],左衛,061080402
247,06108040203,061080404,[not yet translated],右衛,061080402
248,06108040204,061080405,[not yet translated],親衛中郎將府,061080402
249,06108040205,061080406,[not yet translated],勳一衛中郎將府,061080402
250,06108040206,061080407,[not yet translated],勳二衛中郎將府,061080402
251,06108040207,061080408,[not yet translated],翊一衛中郎將府,061080402
252,06108040208,061080409,[not yet translated],翊二衛中郎將府,061080402
253,061080403,061080410,[not yet translated],左右驍衛,0610804
254,06108040302,061080411,[not yet translated],左驍衛,061080403
255,06108040303,061080412,[not yet translated],右驍衛,061080403
256,06108040304,061080413,[not yet translated],左驍衛翊中郎將府,061080403
257,06108040305,061080414,[not yet translated],右驍衛翊中郎將府,061080403
258,061080404,061080415,[not yet translated],左右武衛,0610804
259,06108040402,061080416,[not yet translated],左武衛,061080404
260,06108040403,061080417,[not yet translated],右武衛,061080404
261,06108040404,061080418,[not yet translated],左武衛翊中郎將府,061080404
262,06108040405,061080419,[not yet translated],右武衛翊中郎將府,061080404
263,06108040406,061080420,[not yet translated],右武衛,061080404
264,06108040407,061080421,[not yet translated],左威衛,061080404
265,06108040408,061080422,[not yet translated],左威衛翊中郎將府,061080404
266,06108040409,061080423,[not yet translated],右威衛翊中郎將府,061080404
267,061080405,061080424,[not yet translated],左右領軍衛,0610804
268,06108040502,061080425,[not yet translated],左領軍衛,061080405
269,06108040503,061080426,[not yet translated],右領軍衛,061080405
270,06108040504,061080427,[not yet translated],左領軍衛翊中郎將府,061080405
271,06108040505,061080428,[not yet translated],右領軍衛翊中郎將府,061080405
272,061080406,061080429,[not yet translated],左右金吾衛,0610804
273,06108040602,061080430,[not yet translated],左金吾衛,061080406
274,06108040603,061080431,[not yet translated],右金吾衛,061080406
275,06108040604,061080432,[not yet translated],左金吾衛翊中郎將府,061080406
276,06108040605,061080433,[not yet translated],右金吾衛翊中郎將府,061080406
277,061080407,061080434,[not yet translated],左右監門衛,0610804
278,06108040702,061080435,[not yet translated],左監門衛,061080407
279,06108040703,061080436,[not yet translated],右監門衛,061080407
280,06108040704,061080437,[not yet translated],左監門衛翊中郎將府,061080407
281,06108040705,061080438,[not yet translated],右監門衛翊中郎將府,061080407
282,061080408,061080439,[not yet translated],左右千牛衛,0610804
283,06108040802,061080440,[not yet translated],左千牛衛,061080408
