index,c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes,c_secondary_source_author
0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,
1,1,1,1,1250.0,,,2.0,15.0,18.0,,,,,,,,9599.0,5461,"from L.Walton: YR II.1317; II,1954; Lao, p.122",
2,1,2,1,,,,,18.0,18.0,,,,,,,,9599.0,6140,from L.Walton: 大明一統志 12.8a,
3,1,3815,1,1226.0,593.0,1.0,0.0,78.0,,,,,,,,,38280.0,391,多个出處:元代書院之地理分佈P391;中國古代的書院制度P30.,
4,2,3,2,,,,,,18.0,,,,,,,,9599.0,14182,元代釋法憶113233居雞足山安定寺,
5,3,4,2,,,,,,18.0,,,,,,,,9599.0,14019,元代釋允清113075居衢州子湖安國禪寺,
6,4,5,1,1272.0,,,,15.0,,,,,,,,,,,"from L.Walton: 大明一統志 58.17a; Wen Tianxiang, Wenshan xiansheng wenji [SBCK ed], 18b-20a; Liu Jiangsun, Yangwu zhaiji [e-SKQS], 27.1b-2a",
7,5,6,2,,,,,,18.0,,,,,,,,9599.0,14317,元代釋福海113362居泰山安靈寺,
8,6,7,1,,,,,18.0,18.0,,,,,,,,9599.0,2067,,
9,7,8,1,,,,,18.0,18.0,,,,,,,,,,from L.Walton: SYXA 64.9b; 大明一統志 76.9a,
10,8,9,1,1300.0,,,,18.0,18.0,,,,,,,,9599.0,5131,"from L.Walton: Wu Cheng, 23.30a-32b; SYXA 92.25b12",
11,8,3347,1,1246.0,554.0,6.0,2.0,15.0,,,,,,,,,38278.0,304,多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P112.,
12,9,10,1,,,,,18.0,18.0,,,,,,,,9599.0,4134,,
13,10,11,1,,,,,18.0,18.0,,,,,,,,9599.0,12995,,
14,11,12,2,,,,,,18.0,,,,,,,,9599.0,14367,元代釋懷則113412居天台白蓮寺,
15,11,13,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,193,Temple ID 140233 Location: 茂名縣東,
16,12,14,1,,,,,18.0,18.0,,,,,,,,9599.0,10873,,
17,13,15,1,1287.0,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Ma Tingluan, 17.10a-12a; Bailudong shuyuan zhi (various editions, 1566,1592,1622, 1910]",
18,14,16,1,1241.0,,,,15.0,18.0,,,,,,,,9599.0,2175,"from L.Walton: Liu Yi 劉繹 ed., Bailuzhou shuyuan zhi (1871); Liu Jiangsun, Yangwu zhaiji [e-SKQS ed.], 27.1a-b; Liu Chenweng, Xuxi ji [e-SKQS ed], 3.34b-37b",
