,c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
0,0,0,0,0
1,1,52,1,1
2,1,60,2,2
3,2,453,1,3
4,3,391,1,4
5,4,153,1,5
6,5,454,1,6
7,6,15,1,7
8,7,154,1,8
9,8,47,1,9
10,9,34,1,10
11,10,131,1,11
12,11,414,1,12
13,11,140233,2,13
14,12,114,1,14
15,13,155,1,15
16,14,16,1,16
17,15,156,1,17
18,16,133,1,18
19,17,157,1,19
20,18,158,1,20
21,19,434,1,21
22,19,139191,2,22
23,19,140353,3,23
24,20,426,1,24
25,20,138776,2,25
26,21,266,1,26
27,21,362,2,27
28,21,138778,3,28
29,21,139551,4,29
30,21,139679,5,30
31,21,139771,6,31
32,21,139785,7,32
33,21,139826,8,33
34,21,139922,9,34
35,21,139970,10,35
36,21,139996,11,36
37,21,140081,12,37
38,21,140175,13,38
39,21,140258,14,39
40,21,140371,15,40
41,21,140446,16,41
42,21,140461,17,42
43,22,331,1,43
44,22,140152,2,44
45,22,140387,3,45
46,23,455,1,46
47,24,265,1,47
48,25,394,1,48
49,26,400,1,49
50,26,456,2,50
51,26,138557,3,51
52,26,138558,4,52
53,26,139543,5,53
54,26,139786,6,54
55,26,139827,7,55
56,27,421,1,56
57,27,139865,2,57
58,28,314,1,58
59,28,138548,2,59
60,29,100,1,60
61,30,378,1,61
62,31,330,1,62
63,32,363,1,63
64,33,159,1,64
65,34,160,1,65
66,35,218,1,66
67,35,219,2,67
68,36,78,1,68
69,37,316,1,69
70,38,161,1,70
71,39,162,1,71
72,40,27,1,72
73,41,401,1,73
74,42,42,1,74
75,43,302,1,75
76,44,80,1,76
77,45,163,1,77
78,46,364,1,78
79,46,138772,2,79
80,46,139402,3,80
81,46,139799,4,81
82,46,139841,5,82
83,46,139977,6,83
84,47,267,1,84
85,47,323,2,85
86,48,457,1,86
87,49,417,1,87
88,49,138626,2,88
89,49,138627,3,89
90,49,138628,4,90
91,49,139466,5,91
92,49,139701,6,92
93,49,139853,7,93
94,49,140012,8,94
95,49,140088,9,95
96,49,140105,10,96
97,50,372,1,97
98,51,268,1,98
99,52,301,1,99
100,53,164,1,100
101,54,109,1,101
102,55,101,1,102
103,56,14,1,103
104,56,57,2,104
105,56,82,3,105
106,57,141,1,106
107,58,7,1,107
108,58,55,2,108
109,59,332,1,109
110,60,291,1,110
111,60,138743,2,111
112,60,138744,3,112
113,60,138745,4,113
114,60,138746,5,114
115,60,139429,6,115
116,60,139463,7,116
117,60,139683,8,117
118,60,139847,9,118
119,60,139848,10,119
120,61,317,1,120
121,61,138433,2,121
122,61,140400,3,122
123,62,365,1,123
124,63,458,1,124
125,64,269,1,125
