index,tts_sysno,c_textid,c_text_edition_id,c_text_instance_id,c_instance_title_chn,c_instance_title,c_instance_title_trans,c_part_of_instance,c_part_of_instance_notes,c_pub_country,c_pub_dy,c_pub_year,c_pub_nh_code,c_pub_nh_year,c_pub_range_code,c_pub_loc,c_publisher,c_print,c_pub_notes,c_source,c_pages,c_secondary_source_author,c_extant,c_url_api,c_url_homepage,c_notes,c_number,c_counter,c_title_alt_chn,c_created_by,c_created_date,c_modified_by,c_modified_date
0,2.0,2031,1,1,愛日齋叢鈔,ai ri zhai cong chao,,,,0.0,0.0,0,0.0,,,,(CSJC).,,-1,7596.0,17782,,,,,,,,,TTS,20070417,HUWHS,20131216
1,3.0,2032,1,1,楓窗小牘,Fengchuang xiaodu,,,,0.0,0.0,0,0.0,,,,(Baihai),,-1,0.0,,,,,,,,,,TTS,20070417,,
2,4.0,2033,1,1,宋大詔令集,Song Dazhaoling ji,,,,0.0,0.0,0,0.0,,,,"(Beijing: Zhonghua shuju, 1962)",,-1,0.0,,,,,,,,,,TTS,20070417,,
3,5.0,2034,1,1,國朝諸臣奏議,Guochao Zhuchen zouyi,,,,0.0,0.0,0,0.0,,,,"(Taipei: Wenhai, 1970 photo offprint of Ming printing of Song wood block edition).",,-1,0.0,,,,,,,,,,TTS,20070417,,
4,6.0,2035,1,1,可書,Keshu,,,,0.0,0.0,0,0.0,,,,(CSJC).,,-1,0.0,,,,,,,,,,TTS,20070417,,
5,7.0,2036,1,1,樂全集:四十卷,le quan ji,,,,0.0,0.0,0,0.0,,,,(SKQSZB).,,-1,7596.0,12940,,,,,,40,卷,,TTS,20070417,,
6,8.0,2038,1,1,于湖居士文集,Yuhu jushi wenji,,,,0.0,0.0,0,0.0,,,,(SBCK).,,-1,0.0,,,,,,,,,,TTS,20070417,,
7,9.0,2039,1,1,東窗集,dong chuang ji,,,,0.0,0.0,0,0.0,,,,(SKQSZB).,,-1,7596.0,12840,,,,,,,,,TTS,20070417,,
8,10.0,2040,1,1,張右史文集,Zhang Youshi wenji,,,,0.0,0.0,0,0.0,,,,(SBCK).,,-1,0.0,,,,,,,,,,TTS,20070417,,
9,11.0,2041,1,1,柯山集,Keshan ji,,,,0.0,0.0,0,0.0,,,,(WYD).,,-1,0.0,,,,,,,,,,TTS,20070417,,
10,12.0,2042,1,1,游宦紀聞,Youhuan jiwen,,,,0.0,0.0,0,0.0,,,,(Baihai).,,-1,0.0,,,,,,,,,,TTS,20070417,,
11,13.0,2043,1,1,張橫渠先生文集,Zhang hengqu xiansheng wenji,,,,0.0,0.0,0,0.0,,,,(CSJC).,,-1,0.0,,,,,,,,,,TTS,20070417,,
12,14.0,2044,1,1,滏水集,Fushui ji,,,,0.0,0.0,0,0.0,,,,(Jiu jinren ji).,,-1,0.0,,,,,,,,,,TTS,20070417,,
13,15.0,2045,1,1,候鯖錄,Houqing lu,,,,0.0,0.0,0,0.0,,,,(Baihai).,,-1,0.0,,,,,,,,,,TTS,20070417,,
14,16.0,2046,1,1,忠正德文集:十卷,zhong zheng de wen ji,,,,0.0,0.0,0,0.0,,,,(Qiankun zhengqi ji).,,-1,7596.0,18395,,,,,,10,卷,,TTS,20070417,,
15,17.0,2047,1,1,雲麓漫鈔 (新校),Yunlu manchao (Xinxiao),,,,0.0,0.0,0,0.0,,,,"(Taipei: World Book Co., 1962).",,-1,0.0,,,,,,,,,,TTS,20070417,,
16,18.0,2048,1,1,雲麓漫鈔,yun lu man chao,,,,0.0,0.0,0,0.0,,,,(Baihai).,,-1,7596.0,19489,,,,,,,,,TTS,20070417,,
17,19.0,2049,1,1,墨經,mo jing,,,,0.0,0.0,0,0.0,,,,(CSJC).,,-1,7596.0,10726,,,,,,,,,TTS,20070417,,
18,20.0,2050,1,1,嵩山文集,Songshan wenji,,,,0.0,0.0,0,0.0,,,,(SBCK).,,-1,0.0,,,,,,,,,,TTS,20070417,,
19,21.0,2051,1,1,真文忠公全集,Zhen Wenzhong Gong quanji,,,,0.0,0.0,0,0.0,,,,"(Taipei: Wenyou shudian, 1968 phot offprint of a Ming edition).",,-1,0.0,,,,,,,,,,TTS,20070417,,
20,22.0,2052,1,1,西山先生真文忠公集,Xishan xiansheng Zhen Wenzhong Gong ji,,,,0.0,0.0,0,0.0,,,,(in Zhen wenzhong gong quanji).,,-1,0.0,,,,,,,,,,TTS,20070417,,
21,23.0,2053,1,1,唯室集,wei shi ji,,,,0.0,0.0,0,0.0,,,,(SKQSZB).,,-1,7596.0,14377,,,,,,,,,TTS,20070417,,
22,24.0,2054,1,1,本堂先生文集,Bentang xiansheng wenji,,,,0.0,0.0,0,0.0,,,,(SKQSZB).,,-1,0.0,,,,,,,,,,TTS,20070417,,
23,25.0,2055,1,1,止齋先生文集,Zhizhai xiansheng wenji,,,,0.0,0.0,0,0.0,,,,(SBCK).,,-1,0.0,,,,,,,,,,TTS,20070417,,
24,26.0,2056,1,1,使遼語錄,Shi Liao yulu,,,,0.0,0.0,0,0.0,,,,"(Taipei: Guangwen shuju, 1968).",,-1,0.0,,,,,,,,,,TTS,20070417,,
25,27.0,2057,1,1,龍川詞校箋,Longchuan ci xiaojian,,,,0.0,0.0,0,0.0,,,,"(Beijing: Zhonghua shuju, 1961).",,-1,0.0,,,,,,,,,,TTS,20070417,,
