index,TableName,FieldName,Change,ChangeDate,ChangeNotes
0,ADDR_BELONGS_DATA,All,new table,2011/07/24,not new to TTS
1,ADDR_BELONGS_DATA,c_addr_cbd,added,2011/07/24,new table
2,ADDR_BELONGS_DATA,c_addr_id,added,2011/07/24,new table
3,ADDR_BELONGS_DATA,c_belongs_to,added,2011/07/24,new table
4,ADDR_BELONGS_DATA,c_first_year,added,2011/07/24,new table
5,ADDR_BELONGS_DATA,c_last_year,added,2011/07/24,new table
6,ADDR_BELONGS_DATA,c_notes,added,2011/07/24,new table
7,ADDR_BELONGS_DATA,c_pages,added,2011/07/24,new table
8,ADDR_BELONGS_DATA,c_source,added,2011/07/24,new table
9,ADDR_CODES,All,new table to list,2011/07/24,not new to TTS
10,ADDR_CODES,c_addr_cbd,added,2011/07/24,new table
11,ADDR_CODES,c_addr_id,added,2011/07/24,new table
12,ADDR_CODES,c_admin_status,added,2011/07/24,new table
13,ADDR_CODES,c_admin_type,added,2011/07/24,new table
14,ADDR_CODES,c_firstyear,added,2011/07/24,new table
15,ADDR_CODES,c_lastyear,added,2011/07/24,new table
16,ADDR_CODES,c_name,added,2011/07/24,new table
17,ADDR_CODES,c_name_chn,added,2011/07/24,new table
18,ADDR_CODES,CHGIS_Beg_Yr,added,2011/07/24,new table
19,ADDR_CODES,CHGIS_End_Yr,added,2011/07/24,new table
20,ADDR_CODES,CHGIS_PT_ID,added,2011/07/24,new table
21,ADDR_CODES,x_coord,added,2011/07/24,new table
22,ADDR_CODES,y_coord,added,2011/07/24,new table
23,ADDR_XY,All,added,2011/08/18,new table
24,ADDR_XY,c_addr_id,new table,2011/08/18,
25,ADDR_XY,x_coord,added,2011/08/18,new table
26,ADDR_XY,y_coord,added,2011/08/18,new table
27,ALTNAME_CODES,c_name_type_code,table renamed,2011/07/03,old name:  NAME_TYPES
28,ALTNAME_CODES,c_name_type_desc,table renamed,2011/07/03,old name:  NAME_TYPES
29,ALTNAME_CODES,c_name_type_desc_chn,table renamed,2011/07/03,old name:  NAME_TYPES
