字段,中文意思,隶属表格
tts_sysno,大铎公司的系统编号,BIOG_MAIN
c_personid,个人ID,BIOG_SOURCE_DATA
c_entry_code,入仕方式代码,ENTRY_DATA
c_sequence,关系的顺序，如果个人不知道实际日期,POSTED_TO_OFFICE_DATA
c_exam_rank,考试名次,ENTRY_DATA
c_kin_code,如可知，记录中通过其建立关系的主要个人的亲属的代码,KIN_DATA
c_kin_id,如可知，记录中通过其建立关系的主要个人的亲属的ID,KIN_DATA
c_assoc_code,社会关系代码,ASSOC_DATA
c_assoc_id,关联人的ID,ASSOC_DATA
c_year,入仕年,EVENTS_ADDR
c_age,入仕时的年龄,ENTRY_DATA
c_nianhao_id,入仕年年号ID,ENTRY_DATA
c_entry_nh_year,入仕年年号,ENTRY_DATA
c_entry_range,入仕年年份范围,ENTRY_DATA
c_inst_code,确立关系的社会机构的代码,POSTED_TO_OFFICE_DATA
c_inst_name_code,确立关系的社会机构名称,POSTED_TO_OFFICE_DATA
c_exam_field,考试科目,ENTRY_DATA
c_parental_status,双亲状态,ENTRY_DATA
c_attempt_count,考试尝试次数,ENTRY_DATA
c_source,出处,POSTED_TO_OFFICE_DATA
c_pages,页码,BIOG_SOURCE_DATA
c_notes,备注,BIOG_SOURCE_DATA
c_posting_notes,入仕之后立刻被任命的官职,ENTRY_DATA
c_created_by,数据创建人,BIOG_MAIN
c_created_date,数据创建日期,BIOG_MAIN
c_modified_by,数据修改人,BIOG_MAIN
c_modified_date,数据修改日期,BIOG_MAIN
c_bi_role_code,个人在机构中的角色代码,BIOG_INST_DATA
c_bi_begin_year,始年,BIOG_INST_DATA
c_bi_by_nh_code,始年年号代码,BIOG_INST_DATA
c_bi_by_nh_year,始年年号,BIOG_INST_DATA
c_bi_by_range,始年年份范围,BIOG_INST_DATA
c_bi_end_year,终年,BIOG_INST_DATA
c_bi_ey_nh_code,终年年号代码,BIOG_INST_DATA
c_bi_ey_nh_year,终年年号,BIOG_INST_DATA
c_bi_ey_range,终年年份范围,BIOG_INST_DATA
c_possession_record_id,财产ID,POSSESSION_ADDR
c_possession_act_code,人与物品之间的关系类别的代码,POSSESSION_DATA
c_possession_desc,财产的介绍,POSSESSION_DATA
c_possession_desc_chn,财产的中文介绍,POSSESSION_DATA
c_quantity,数量,POSSESSION_DATA
c_measure_code,物品、货币、书籍、和空间等数量单位的代码,POSSESSION_DATA
c_possession_yr,年份,POSSESSION_DATA
c_possession_nh_code,年号代码,POSSESSION_DATA
c_possession_nh_yr,年号年,POSSESSION_DATA
c_possession_yr_range,年份范围,POSSESSION_DATA
c_addr_id,地址ID,POSSESSION_ADDR
c_status_code,社会状态,STATUS_DATA
c_firstyear,地址名称起始年,POSTED_TO_OFFICE_DATA
c_fy_nh_code,始年年号代码,POSTED_TO_OFFICE_DATA
c_fy_nh_year,始年年号,POSTED_TO_OFFICE_DATA
c_fy_range,始年范围,POSTED_TO_OFFICE_DATA
c_lastyear,地址名称终止年,POSTED_TO_OFFICE_DATA
c_ly_nh_code,终年年号代码,POSTED_TO_OFFICE_DATA
c_ly_nh_year,终年年号,POSTED_TO_OFFICE_DATA
c_ly_range,终年范围,POSTED_TO_OFFICE_DATA
c_supplement,并称、合称,STATUS_DATA
c_event_record_id, 事件ID,EVENTS_ADDR
c_event_code,事件代码,EVENTS_DATA
c_role,人在事件中扮演的角色,EVENTS_DATA
c_nh_code,事件发生年年号,EVENTS_ADDR
c_nh_year,事件发生年,EVENTS_ADDR
c_yr_range,事件发生年年份范围,EVENTS_ADDR
c_intercalary,事件发生年是否有闰月,EVENTS_ADDR
c_month,事件发生月,EVENTS_ADDR
c_day,事件发生日,EVENTS_ADDR
c_day_ganzhi,事件发生日（干支）,EVENTS_ADDR
c_event,发生的事件,EVENTS_DATA
c_alt_name,个人的别名,ALTNAME_DATA
c_alt_name_chn,个人的别名（中文）,ALTNAME_DATA
c_alt_name_type_code,别名类别代码,ALTNAME_DATA
c_posting_id,官职ID,POSTED_TO_OFFICE_DATA
c_office_id,官／署ID,POSTED_TO_OFFICE_DATA
c_posting_id_old,用于数据库维护的临时表,POSTED_TO_OFFICE_DATA
c_assoc_kin_code,如可知，记录中通过其建立关系的关系人的亲属的ID,ASSOC_DATA
c_assoc_kin_id,如可知，记录中通过其建立关系的关系人的亲属的代码,ASSOC_DATA
c_tertiary_personid,第三方关联人的ID,ASSOC_DATA
c_assoc_count,建立社会关系的事件总数,ASSOC_DATA
c_assoc_year,关系的年份,ASSOC_DATA
c_assoc_nh_code,社会关系的年号代码,ASSOC_DATA
c_assoc_nh_year,社会关系的年号,ASSOC_DATA
c_assoc_range,社会关系产生时间范围。如之前、之后、约等,ASSOC_DATA
c_litgenre_code,确立关系的著作类型的代码，如相关,ASSOC_DATA
c_occasion_code,确立关系的场合,ASSOC_DATA
c_topic_code,确立关系所围绕的学术话题,ASSOC_DATA
c_text_title,确立关系的作品题目，如相关,ASSOC_DATA
c_assoc_claimer_id,声称关系存在的个人的ID,ASSOC_DATA
c_assoc_intercalary,社会关系建立时间的月份是否为闰月,ASSOC_DATA
c_assoc_month,关系的月份,ASSOC_DATA
c_assoc_day,关系的天数,ASSOC_DATA
c_assoc_day_gz,关系的天数（干支）,ASSOC_DATA
c_addr_type,地址类别,BIOG_ADDR_DATA
c_natal,是否为生地,BIOG_ADDR_DATA
c_fy_intercalary,始年月份是否为闰月,POSTED_TO_OFFICE_DATA
c_ly_intercalary,终年月份是否为闰月,POSTED_TO_OFFICE_DATA
c_fy_month,始年月份,POSTED_TO_OFFICE_DATA
c_ly_month,终年月份,POSTED_TO_OFFICE_DATA
c_fy_day,始年天数,POSTED_TO_OFFICE_DATA
c_ly_day,终年天数,POSTED_TO_OFFICE_DATA
c_fy_day_gz,始年天数(干支),POSTED_TO_OFFICE_DATA
c_ly_day_gz,终年天数(干支),POSTED_TO_OFFICE_DATA
c_delete,用于数据库维护的临时表,BIOG_ADDR_DATA
c_autogen_notes,自动生成反向关系备注,KIN_DATA
c_textid,文本ID,BIOG_SOURCE_DATA
c_role_id,人物在文本创建中的角色ID,BIOG_TEXT_DATA
c_range_code,年份范围代码,BIOG_TEXT_DATA
c_appt_type_code,除授类别代码,POSTED_TO_OFFICE_DATA
c_assume_office_code,个人是否赴任的代码,POSTED_TO_OFFICE_DATA
c_office_id_backup,官／署ID备份,POSTED_TO_OFFICE_DATA
c_office_category_id,职官类别（阶官，勋爵等）ID,POSTED_TO_OFFICE_DATA
c_dy,朝代,BIOG_MAIN
c_index_year,指数年,BIOG_MAIN
c_index_year_source_id,指数年来源,BIOG_MAIN
c_name,地址名称,BIOG_MAIN
c_name_chn,地址中文名称,BIOG_MAIN
c_index_year_type_code,指数年用何种方式计算得出,BIOG_MAIN
c_female,是否为女性,BIOG_MAIN
c_index_addr_id,指数地址,BIOG_MAIN
c_index_addr_type_code,指数地址类型,BIOG_MAIN
c_ethnicity_code,少数民族划分代码,BIOG_MAIN
c_household_status_code,所属户籍代码,BIOG_MAIN
c_tribe,种族部族,BIOG_MAIN
c_birthyear,出生年,BIOG_MAIN
c_by_nh_code,出生年年号代码,BIOG_MAIN
c_by_nh_year,出生年年号,BIOG_MAIN
c_by_range,出生年范围,BIOG_MAIN
c_deathyear,死亡年,BIOG_MAIN
c_dy_nh_code,死亡年年号代码,BIOG_MAIN
c_dy_nh_year,死亡年年号,BIOG_MAIN
c_dy_range,死亡年范围,BIOG_MAIN
c_death_age,死亡年龄,BIOG_MAIN
c_death_age_range,死亡年龄范围,BIOG_MAIN
c_fl_earliest_year,在世始年，如生卒年情况不详,BIOG_MAIN
c_fl_ey_nh_code,在世始年年号代码,BIOG_MAIN
c_fl_ey_nh_year,在世始年年号,BIOG_MAIN
c_fl_ey_notes,在世始年备注,BIOG_MAIN
c_fl_latest_year,在世末年，如生卒年情况不详,BIOG_MAIN
c_fl_ly_nh_code,在世末年年号代码,BIOG_MAIN
c_fl_ly_nh_year,在世末年年号,BIOG_MAIN
c_fl_ly_notes,在世末年备注,BIOG_MAIN
c_surname,姓,BIOG_MAIN
c_surname_chn,中文姓,BIOG_MAIN
c_mingzi,名字,BIOG_MAIN
c_mingzi_chn,中文名字,BIOG_MAIN
c_choronym_code,"郡望, 用于确认中古家族的“地址＋姓氏“代码",BIOG_MAIN
c_by_intercalary,出生年是否有闰月,BIOG_MAIN
c_dy_intercalary,死亡年是否有闰月,BIOG_MAIN
c_by_month,出生月,BIOG_MAIN
c_dy_month,死亡月,BIOG_MAIN
c_by_day,出生日,BIOG_MAIN
c_dy_day,死亡日,BIOG_MAIN
c_by_day_gz,出生日干支,BIOG_MAIN
c_dy_day_gz,死亡日干支,BIOG_MAIN
c_surname_proper,非汉语姓氏的原写法,BIOG_MAIN
c_mingzi_proper,非汉语名字的原写法,BIOG_MAIN
c_name_proper,非汉语全名的原写法,BIOG_MAIN
c_surname_rm,非汉语姓氏的罗马拼音写法,BIOG_MAIN
c_mingzi_rm,非汉语名字的罗马拼音写法,BIOG_MAIN
c_name_rm,非汉语全名的罗马拼音写法,BIOG_MAIN
c_self_bio,是否为传记核心人物,BIOG_SOURCE_DATA
c_main_source,是否为传记核心材料,BIOG_SOURCE_DATA
