字段,中文意思
c_assoc_nh_code,社会关系的年号代码
c_fy_month,始年月份
c_assoc_day_gz,关系的天数（干支）
c_pages,页码
c_surname_proper,非汉语姓氏的原写法
c_name_rm,非汉语全名的罗马拼音写法
c_ly_day_gz,终年天数(干支)
c_assoc_nh_year,社会关系的年号
c_kin_code,如可知，记录中通过其建立关系的主要个人的亲属的代码
c_autogen_notes,自动生成反向关系备注
c_female,是否为女性
c_assoc_count,建立社会关系的事件总数
c_event_code,事件代码
c_created_by,数据创建人
c_possession_act_code,人与物品之间的关系类别的代码
c_by_day,出生日
c_counter,单位
c_possession_record_id,财产ID
c_posting_notes,入仕之后立刻被任命的官职
c_dy_nh_code,死亡年年号代码
c_text_nh_code,成书年年号代码
c_assoc_kin_id,如可知，记录中通过其建立关系的关系人的亲属的代码
c_bi_by_nh_code,始年年号代码
c_fy_day_gz,始年天数(干支)
c_category_1,官职的第一层官/署归属
c_age,入仕时的年龄
c_measure_code,物品、货币、书籍、和空间等数量单位的代码
c_ly_nh_code,终年年号代码
c_supplement,并称、合称
c_by_day_gz,出生日干支
c_possession_desc,财产的介绍
c_mingzi,名字
c_title,文本标题
c_surname,姓
c_part_of_instance_notes,丛书实例备注
c_instance_title_trans,版本实例的译名
c_surname_chn,中文姓
c_name,地址名称
c_office_chn,官／署的中文名称
c_lastyear,地址名称终止年
c_text_type_id,著作分类
c_name_chn,地址中文名称
c_text_country,成书地
c_instance_title_chn,版本实例的中文名
c_household_status_code,所属户籍代码
c_deathyear,死亡年
c_pub_nh_year,出版年
c_url_homepage,资料来源网站
c_month,事件发生月
c_assoc_range,社会关系产生时间范围。如之前、之后、约等
c_posting_id,官职ID
c_nianhao_id,入仕年年号ID
c_extant,文本的存佚情况
c_tribe,种族部族
c_fl_ly_notes,在世末年备注
c_title_chn,文本中文标题
c_entry_nh_year,入仕年年号
c_nh_code,事件发生年年号
c_index_year_type_code,指数年用何种方式计算得出
c_dy_nh_year,死亡年年号
c_by_nh_year,出生年年号
c_text_nh_year,成书年
c_notes,备注
c_range_code,年份范围代码
c_attempt_count,考试尝试次数
c_bibl_cat_code,XXX
c_entry_code,入仕方式代码
c_natal,是否为生地
c_text_year,成书时间
c_possession_yr,年份
c_fy_intercalary,始年月份是否为闰月
c_main_source,是否为传记核心材料
c_possession_nh_yr,年号年
c_fl_earliest_year,在世始年，如生卒年情况不详
c_source,出处
c_number,数量
c_fl_ey_nh_code,在世始年年号代码
c_fl_latest_year,在世末年，如生卒年情况不详
c_nh_year,事件发生年
c_addr_type,地址类别
c_assoc_month,关系的月份
c_bi_ey_nh_year,终年年号
c_office_chn_alt,官／署的其它中文名称
c_by_month,出生月
c_modified_date,数据修改日期
c_office_category_id,职官类别（阶官，勋爵等）ID
c_fy_nh_code,始年年号代码
c_dy_day_gz,死亡日干支
c_assoc_id,关联人的ID
c_ly_month,终年月份
c_year,入仕年
c_possession_yr_range,年份范围
c_name_proper,非汉语全名的原写法
c_fl_ly_nh_year,在世末年年号
c_exam_rank,考试名次
c_addr_id,地址ID
c_litgenre_code,确立关系的著作类型的代码，如相关
c_office_trans,官／署名称的翻译
c_office_id_old,用于数据库维护的临时表
c_death_age,死亡年龄
