column_code,meaning_cn,meaning_en,data_type,coded,code_table,note,affiliated_table
c_addr_id,地址ID,address ID,,,,,ADDRESSES
c_addr_cbd,用于数据库维护的临时表,the temporary table for maintenance,,,,,ADDRESSES
c_name,地址名称,address name,,,,,ADDRESSES
c_name_chn,地址中文名称,address Chinese name,,,,,ADDRESSES
c_admin_type,行政区类别,administrative type,,,,,ADDRESSES
c_firstyear,地址名称起始年,address name first year used,,,,,ADDRESSES
c_lastyear,地址名称终止年,address name last year used,,,,,ADDRESSES
x_coord,x轴,x coordinate,,,,,ADDRESSES
y_coord,y轴,y coordinate,,,,,ADDRESSES
belongs1_ID,第一层从属行政区ID,upper level administrative unit ID,,,,,ADDRESSES
belongs1_Name,第一层从属行政区名称,upper level administrative unit name,,,,,ADDRESSES
belongs2_ID,第二层从属行政区ID,upper second-level administrative unit ID,,,,,ADDRESSES
belongs2_Name,第二层从属行政区名称,upper second-level administrative unit name,,,,,ADDRESSES
belongs3_ID,第三层从属行政区ID,upper third-level administrative unit ID,,,,,ADDRESSES
belongs3_Name,第三层从属行政区名称,upper third-level administrative unit name,,,,,ADDRESSES
belongs4_ID,第四层从属行政区ID,upper fourth-level administrative unit ID,,,,,ADDRESSES
belongs4_Name,第四层从属行政区名称,upper fourth-level administrative unit name,,,,,ADDRESSES
belongs5_ID,第五层从属行政区ID,upper fifth-level administrative unit ID,,,,,ADDRESSES
belongs5_Name,第五层从属行政区名称,upper fifth-level administrative unit name,,,,,ADDRESSES
c_belongs_to,从属行政区,upper level administrative unit it belongs to,,,,,ADDR_BELONGS_DATA
c_source,出处,source,,,,,ADDR_BELONGS_DATA
c_pages,页码,pages,,,,,ADDR_BELONGS_DATA
c_notes,备注,notes,,,,,ADDR_BELONGS_DATA
CHGIS_PT_ID,中国历史地理信息系统地点 ID,CHGIS point ID,,,,,ADDR_CODES
c_alt_names,别名,alternative name,,,,,ADDR_CODES
