表一,表二,表间关系
ENTRY_DATA,OFFICE_CODES,一对一
ENTRY_DATA,BIOG_INST_DATA,一对多
ENTRY_DATA,STATUS_DATA,一对一
ENTRY_DATA,EVENTS_DATA,一对多
ENTRY_DATA,ALTNAME_DATA,一对一
ENTRY_DATA,POSTED_TO_ADDR_DATA,一对一
ENTRY_DATA,TEXT_INSTANCE_DATA,一对一
ENTRY_DATA,ASSOC_DATA,一对一
ENTRY_DATA,BIOG_ADDR_DATA,一对一
ENTRY_DATA,TEXT_CODES,一对一
ENTRY_DATA,POSTING_DATA,一对多
ENTRY_DATA,KIN_DATA,一对一
ENTRY_DATA,BIOG_TEXT_DATA,一对一
ENTRY_DATA,POSTED_TO_OFFICE_DATA,一对一
ENTRY_DATA,BIOG_MAIN,一对一
PLACE_CODES,ADDR_PLACE_DATA,一对多
SOCIAL_INSTITUTION_NAME_CODES,ENTRY_DATA,一对多
SOCIAL_INSTITUTION_NAME_CODES,BIOG_INST_DATA,一对多
SOCIAL_INSTITUTION_NAME_CODES,ASSOC_DATA,一对多
SOCIAL_INSTITUTION_NAME_CODES,SOCIAL_INSTITUTION_CODES,一对一
SOCIAL_INSTITUTION_NAME_CODES,SOCIAL_INSTITUTION_ALTNAME_DATA,一对一
SOCIAL_INSTITUTION_NAME_CODES,POSTED_TO_OFFICE_DATA,一对多
SOCIAL_INSTITUTION_NAME_CODES,SOCIAL_INSTITUTION_ADDR,一对一
SOCIAL_INSTITUTION_NAME_CODES,SOCIAL_INSTITUTION_CODES_CONVERSION,一对一
ENTRY_TYPES,ENTRY_CODE_TYPE_REL,一对多
OFFICE_CODES,ENTRY_DATA,一对一
OFFICE_CODES,BIOG_INST_DATA,一对多
OFFICE_CODES,STATUS_DATA,一对一
OFFICE_CODES,EVENTS_DATA,一对多
OFFICE_CODES,ALTNAME_DATA,一对一
OFFICE_CODES,POSTED_TO_ADDR_DATA,一对一
OFFICE_CODES,TEXT_INSTANCE_DATA,一对一
OFFICE_CODES,ASSOC_DATA,一对一
OFFICE_CODES,BIOG_ADDR_DATA,一对一
OFFICE_CODES,TEXT_CODES,一对一
OFFICE_CODES,POSTING_DATA,一对多
OFFICE_CODES,KIN_DATA,一对一
OFFICE_CODES,BIOG_TEXT_DATA,一对一
OFFICE_CODES,POSTED_TO_OFFICE_DATA,一对一
OFFICE_CODES,BIOG_MAIN,一对一
TEXT_BIBLCAT_CODES,TEXT_BIBLCAT_CODE_TYPE_REL,一对一
NIAN_HAO,ENTRY_DATA,一对多
YEAR_RANGE_CODES,BIOG_TEXT_DATA,一对多
POSSESSION_ACT_CODES,POSSESSION_DATA,一对多
BIOG_INST_DATA,ENTRY_DATA,一对多
BIOG_INST_DATA,POSSESSION_DATA,一对一
BIOG_INST_DATA,STATUS_DATA,一对多
BIOG_INST_DATA,EVENTS_DATA,一对一
BIOG_INST_DATA,ALTNAME_DATA,一对多
BIOG_INST_DATA,POSTED_TO_ADDR_DATA,一对多
BIOG_INST_DATA,ASSOC_DATA,一对多
BIOG_INST_DATA,BIOG_ADDR_DATA,一对多
BIOG_INST_DATA,POSTING_DATA,一对一
BIOG_INST_DATA,KIN_DATA,一对多
BIOG_INST_DATA,BIOG_TEXT_DATA,一对多
BIOG_INST_DATA,POSTED_TO_OFFICE_DATA,一对多
BIOG_INST_DATA,TMP_INDEX_YEAR,一对一
BIOG_INST_DATA,EVENTS_ADDR,一对多
BIOG_INST_DATA,POSSESSION_ADDR,一对多
BIOG_INST_DATA,BIOG_MAIN,一对多
BIOG_INST_DATA,BIOG_SOURCE_DATA,一对一
POSSESSION_DATA,ENTRY_DATA,一对多
POSSESSION_DATA,BIOG_INST_DATA,一对一
POSSESSION_DATA,STATUS_DATA,一对多
POSSESSION_DATA,EVENTS_DATA,一对一
POSSESSION_DATA,ALTNAME_DATA,一对多
POSSESSION_DATA,POSTED_TO_ADDR_DATA,一对多
POSSESSION_DATA,ASSOC_DATA,一对多
POSSESSION_DATA,BIOG_ADDR_DATA,一对多
POSSESSION_DATA,POSTING_DATA,一对一
POSSESSION_DATA,KIN_DATA,一对多
POSSESSION_DATA,BIOG_TEXT_DATA,一对多
POSSESSION_DATA,POSTED_TO_OFFICE_DATA,一对多
POSSESSION_DATA,TMP_INDEX_YEAR,一对一
POSSESSION_DATA,EVENTS_ADDR,一对多
POSSESSION_DATA,POSSESSION_ADDR,一对多
POSSESSION_DATA,BIOG_MAIN,一对多
POSSESSION_DATA,BIOG_SOURCE_DATA,一对一
ADDR_CODES,POSSESSION_DATA,一对多
ADDR_CODES,EVENTS_DATA,一对多
ADDR_CODES,EVENT_CODES,一对多
ADDR_CODES,POSTED_TO_ADDR_DATA,一对多
ADDR_CODES,ASSOC_DATA,一对多
ADDR_CODES,BIOG_ADDR_DATA,一对多
ADDR_CODES,ADDRESSES,一对一
ADDR_CODES,ADDR_BELONGS_DATA,一对一
ADDR_CODES,ADDR_XY,一对一
ADDR_CODES,ADDR_PLACE_DATA,一对一
ADDR_CODES,EVENTS_ADDR,一对多
ADDR_CODES,POSSESSION_ADDR,一对多
SOCIAL_INSTITUTION_ADDR_TYPES,SOCIAL_INSTITUTION_ADDR,一对多
STATUS_DATA,ENTRY_DATA,一对一
STATUS_DATA,OFFICE_CODES,一对一
STATUS_DATA,BIOG_INST_DATA,一对多
STATUS_DATA,EVENTS_DATA,一对多
STATUS_DATA,ALTNAME_DATA,一对一
STATUS_DATA,POSTED_TO_ADDR_DATA,一对一
STATUS_DATA,TEXT_INSTANCE_DATA,一对一
STATUS_DATA,ASSOC_DATA,一对一
STATUS_DATA,BIOG_ADDR_DATA,一对一
STATUS_DATA,TEXT_CODES,一对一
STATUS_DATA,POSTING_DATA,一对多
STATUS_DATA,KIN_DATA,一对一
STATUS_DATA,BIOG_TEXT_DATA,一对一
STATUS_DATA,POSTED_TO_OFFICE_DATA,一对一
STATUS_DATA,BIOG_MAIN,一对一
OCCASION_CODES,ASSOC_DATA,一对多
EVENTS_DATA,ENTRY_DATA,一对多
EVENTS_DATA,BIOG_INST_DATA,一对一
EVENTS_DATA,POSSESSION_DATA,一对一
EVENTS_DATA,STATUS_DATA,一对多
EVENTS_DATA,ALTNAME_DATA,一对多
EVENTS_DATA,POSTED_TO_ADDR_DATA,一对多
EVENTS_DATA,ASSOC_DATA,一对多
EVENTS_DATA,BIOG_ADDR_DATA,一对多
EVENTS_DATA,POSTING_DATA,一对一
EVENTS_DATA,KIN_DATA,一对多
EVENTS_DATA,BIOG_TEXT_DATA,一对多
EVENTS_DATA,POSTED_TO_OFFICE_DATA,一对多
EVENTS_DATA,TMP_INDEX_YEAR,一对一
EVENTS_DATA,EVENTS_ADDR,一对多
EVENTS_DATA,POSSESSION_ADDR,一对多
EVENTS_DATA,BIOG_MAIN,一对多
EVENTS_DATA,BIOG_SOURCE_DATA,一对一
CHORONYM_CODES,BIOG_MAIN,一对多
ENTRY_CODE_TYPE_REL,ENTRY_DATA,一对多
ENTRY_CODE_TYPE_REL,ENTRY_CODES,一对一
SOCIAL_INSTITUTION_TYPES,SOCIAL_INSTITUTION_CODES,一对多
EVENT_CODES,EVENTS_DATA,一对多
HOUSEHOLD_STATUS_CODES,BIOG_MAIN,一对多
CopyTables,CopyMissingTables,一对多
CopyTables,CopyTablesDefault,一对多
CopyTables,TablesFieldsChanges,一对一
ETHNICITY_TRIBE_CODES,BIOG_MAIN,一对多
DATABASE_LINK_CODES,DATABASE_LINK_DATA,一对多
TEXT_ROLE_CODES,BIOG_TEXT_DATA,一对多
ASSOC_CODES,ENTRY_DATA,一对多
ASSOC_CODES,ASSOC_DATA,一对多
ASSOC_CODES,ASSOC_CODE_TYPE_REL,一对一
BIOG_ADDR_CODES,BIOG_ADDR_DATA,一对多
ALTNAME_DATA,ENTRY_DATA,一对一
ALTNAME_DATA,OFFICE_CODES,一对一
ALTNAME_DATA,BIOG_INST_DATA,一对多
ALTNAME_DATA,STATUS_DATA,一对一
ALTNAME_DATA,EVENTS_DATA,一对多
ALTNAME_DATA,POSTED_TO_ADDR_DATA,一对一
ALTNAME_DATA,TEXT_INSTANCE_DATA,一对一
ALTNAME_DATA,ASSOC_DATA,一对一
ALTNAME_DATA,BIOG_ADDR_DATA,一对一
ALTNAME_DATA,TEXT_CODES,一对一
ALTNAME_DATA,POSTING_DATA,一对多
ALTNAME_DATA,KIN_DATA,一对一
ALTNAME_DATA,BIOG_TEXT_DATA,一对一
ALTNAME_DATA,POSTED_TO_OFFICE_DATA,一对一
ALTNAME_DATA,BIOG_MAIN,一对一
POSTED_TO_ADDR_DATA,ENTRY_DATA,一对一
POSTED_TO_ADDR_DATA,OFFICE_CODES,一对一
POSTED_TO_ADDR_DATA,BIOG_INST_DATA,一对多
POSTED_TO_ADDR_DATA,STATUS_DATA,一对一
POSTED_TO_ADDR_DATA,EVENTS_DATA,一对多
POSTED_TO_ADDR_DATA,ALTNAME_DATA,一对一
POSTED_TO_ADDR_DATA,TEXT_INSTANCE_DATA,一对一
POSTED_TO_ADDR_DATA,ASSOC_DATA,一对一
POSTED_TO_ADDR_DATA,BIOG_ADDR_DATA,一对一
POSTED_TO_ADDR_DATA,TEXT_CODES,一对一
POSTED_TO_ADDR_DATA,POSTING_DATA,一对多
POSTED_TO_ADDR_DATA,KIN_DATA,一对一
POSTED_TO_ADDR_DATA,BIOG_TEXT_DATA,一对一
POSTED_TO_ADDR_DATA,POSTED_TO_OFFICE_DATA,一对一
POSTED_TO_ADDR_DATA,BIOG_MAIN,一对一
STATUS_CODES,STATUS_DATA,一对多
STATUS_CODES,STATUS_CODE_TYPE_REL,一对一
TEXT_INSTANCE_DATA,ENTRY_DATA,一对一
TEXT_INSTANCE_DATA,OFFICE_CODES,一对一
TEXT_INSTANCE_DATA,BIOG_INST_DATA,一对多
TEXT_INSTANCE_DATA,STATUS_DATA,一对一
TEXT_INSTANCE_DATA,EVENTS_DATA,一对多
TEXT_INSTANCE_DATA,ALTNAME_DATA,一对一
TEXT_INSTANCE_DATA,POSTED_TO_ADDR_DATA,一对一
TEXT_INSTANCE_DATA,ASSOC_DATA,一对一
TEXT_INSTANCE_DATA,BIOG_ADDR_DATA,一对一
TEXT_INSTANCE_DATA,TEXT_CODES,一对一
TEXT_INSTANCE_DATA,POSTING_DATA,一对多
TEXT_INSTANCE_DATA,KIN_DATA,一对一
TEXT_INSTANCE_DATA,BIOG_TEXT_DATA,一对一
TEXT_INSTANCE_DATA,POSTED_TO_OFFICE_DATA,一对一
TEXT_INSTANCE_DATA,BIOG_MAIN,一对一
ASSOC_DATA,ENTRY_DATA,一对一
ASSOC_DATA,OFFICE_CODES,一对一
ASSOC_DATA,BIOG_INST_DATA,一对多
ASSOC_DATA,STATUS_DATA,一对一
ASSOC_DATA,EVENTS_DATA,一对多
ASSOC_DATA,ALTNAME_DATA,一对一
ASSOC_DATA,POSTED_TO_ADDR_DATA,一对一
ASSOC_DATA,TEXT_INSTANCE_DATA,一对一
ASSOC_DATA,BIOG_ADDR_DATA,一对一
ASSOC_DATA,TEXT_CODES,一对一
ASSOC_DATA,POSTING_DATA,一对多
ASSOC_DATA,KIN_DATA,一对一
ASSOC_DATA,BIOG_TEXT_DATA,一对一
ASSOC_DATA,POSTED_TO_OFFICE_DATA,一对一
ASSOC_DATA,BIOG_MAIN,一对一
CopyMissingTables,CopyTablesDefault,一对一
BIOG_ADDR_DATA,ENTRY_DATA,一对一
BIOG_ADDR_DATA,OFFICE_CODES,一对一
BIOG_ADDR_DATA,BIOG_INST_DATA,一对多
BIOG_ADDR_DATA,STATUS_DATA,一对一
BIOG_ADDR_DATA,EVENTS_DATA,一对多
BIOG_ADDR_DATA,ALTNAME_DATA,一对一
BIOG_ADDR_DATA,POSTED_TO_ADDR_DATA,一对一
BIOG_ADDR_DATA,TEXT_INSTANCE_DATA,一对一
BIOG_ADDR_DATA,ASSOC_DATA,一对一
BIOG_ADDR_DATA,TEXT_CODES,一对一
BIOG_ADDR_DATA,POSTING_DATA,一对多
BIOG_ADDR_DATA,KIN_DATA,一对一
BIOG_ADDR_DATA,BIOG_TEXT_DATA,一对一
BIOG_ADDR_DATA,POSTED_TO_OFFICE_DATA,一对一
BIOG_ADDR_DATA,BIOG_MAIN,一对一
OFFICE_CODE_TYPE_REL,OFFICE_CODES,一对多
OFFICE_CODE_TYPE_REL,POSTED_TO_ADDR_DATA,一对多
OFFICE_CODE_TYPE_REL,POSTED_TO_OFFICE_DATA,一对多
OFFICE_CODE_TYPE_REL,OFFICE_CODES_CONVERSION,一对多
SOCIAL_INSTITUTION_CODES,ENTRY_DATA,一对多
SOCIAL_INSTITUTION_CODES,SOCIAL_INSTITUTION_NAME_CODES,一对一
SOCIAL_INSTITUTION_CODES,BIOG_INST_DATA,一对多
SOCIAL_INSTITUTION_CODES,ASSOC_DATA,一对多
SOCIAL_INSTITUTION_CODES,SOCIAL_INSTITUTION_ALTNAME_DATA,一对一
SOCIAL_INSTITUTION_CODES,POSTED_TO_OFFICE_DATA,一对多
SOCIAL_INSTITUTION_CODES,SOCIAL_INSTITUTION_ADDR,一对一
SOCIAL_INSTITUTION_CODES,SOCIAL_INSTITUTION_CODES_CONVERSION,一对一
STATUS_CODE_TYPE_REL,STATUS_DATA,一对多
