	汉字	字频	累计字频
0	的	75815362	75815362
1	一	25457232	101272594
2	是	23149794	124422388
3	在	18766686	143189074
4	不	18663788	161852862
5	有	18563917	180416779
6	人	17103749	197520528
7	了	16437434	213957962
8	中	13927636	227885598
9	大	13666304	241551902
10	为	12486717	254038619
11	上	11944832	265983451
12	个	11087128	277070579
13	国	10753236	287823815
14	这	10686186	298510001
15	年	10608175	309118176
16	和	10362955	319481131
17	时	10159855	329640986
18	以	10074634	339715620
19	会	9757506	349473126
20	要	9363431	358836557
21	来	9286638	368123195
22	业	9070683	377193878
23	到	8978653	386172531
24	行	8958511	395131042
25	能	8662036	403793078
26	生	8594383	412387461
27	发	8516190	420903651
28	我	8414655	429318306
29	出	8285867	437604173
30	可	7903054	445507227
31	对	7820520	453327747
32	公	7805107	461132854
33	多	7557282	468690136
34	就	7449617	476139753
35	用	7436302	483576055
36	成	7395804	490971859
37	家	7383548	498355407
38	后	6947126	505302533
39	下	6928000	512230533
40	也	6785681	519016214
41	于	6754906	525771120
42	市	6739524	532510644
43	学	6662206	539172850
44	方	6636265	545809115
45	地	6583759	552392874
46	日	6560056	558952930
47	作	6544619	565497549
48	自	6450098	571947647
49	动	6395956	578343603
50	们	6394047	584737650
51	现	6382563	591120213
52	分	6378021	597498234
53	过	6274376	603772610
54	经	6080485	609853095
55	资	6032325	615885420
56	新	5939091	621824511
57	子	5880072	627704583
58	他	5802602	633507185
59	金	5781287	639288472
60	高	5751976	645040448
61	车	5563607	650604055
62	小	5522096	656126151
63	理	5513884	661640035
64	开	5506498	667146533
65	本	5433407	672579940
66	前	5366777	677946717
67	产	5351053	683297770
68	面	5339541	688637311
69	都	5327183	693964494
70	进	5217674	699182168
71	最	5153076	704335244
72	全	5147325	709482569
73	月	5130395	714612964
74	好	5093477	719706441
75	工	5087211	724793652
76	实	5072089	729865741
77	关	5040286	734906027
78	你	5035562	739941589
79	天	5025897	744967486
80	而	4979845	749947331
81	力	4963240	754910571
82	者	4952403	759862974
83	得	4944980	764807954
84	机	4943532	769751486
85	场	4935902	774687388
86	长	4905662	779593050
87	等	4853367	784446417
88	合	4844593	789291010
89	体	4834713	794125723
90	同	4809460	798935183
91	点	4720760	803655943
92	说	4699952	808355895
93	定	4697106	813053001
94	如	4685362	817738363
95	还	4679534	822417897
96	之	4663765	827081662
97	与	4618233	831699895
98	其	4531671	836231566
99	心	4526779	840758345
100	部	4494883	845253228
101	加	4386892	849640120
102	看	4381516	854021636
103	品	4381058	858402694
104	将	4333085	862735779
105	美	4308660	867044439
106	法	4302136	871346575
107	事	4295665	875642240
108	内	4269057	879911297
109	主	4243605	884154902
110	所	4218298	888373200
111	间	4174820	892548020
112	元	4150181	896698201
113	期	4145842	900844043
114	通	4130070	904974113
115	度	4110587	909084700
116	重	4073027	913157727
117	信	4051219	917208946
118	化	4047239	921256185
119	司	4002608	925258793
120	比	3904887	929163680
121	电	3875828	933039508
122	很	3870900	936910408
123	入	3851298	940761706
124	情	3836855	944598561
125	务	3800532	948399093
126	更	3792863	952191956
127	性	3755095	955947051
128	当	3691492	959638543
129	基	3667453	963305996
130	里	3662727	966968723
131	区	3659506	970628229
132	外	3615416	974243645
133	目	3597632	977841277
134	提	3592050	981433327
135	但	3574113	985007440
136	位	3573556	988580996
137	然	3566716	992147712
138	网	3558285	995705997
139	价	3545279	999251276
140	手	3535594	1002786870
141	道	3530176	1006317046
142	三	3465698	1009782744
143	及	3464014	1013246758
144	报	3444015	1016690773
145	因	3440092	1020130865
146	次	3413070	1023543935
147	文	3400597	1026944532
148	着	3396608	1030341140
149	平	3394513	1033735653
150	量	3376774	1037112427
151	没	3366672	1040479099
152	从	3361111	1043840210
153	数	3357854	1047198064
154	么	3341309	1050539373
155	相	3340502	1053879875
156	保	3340190	1057220065
157	表	3336036	1060556101
158	明	3324643	1063880744
159	起	3319099	1067199843
160	果	3304258	1070504101
161	制	3300724	1073804825
162	名	3293059	1077097884
163	计	3290386	1080388270
164	水	3284319	1083672589
165	利	3258710	1086931299
166	展	3240714	1090172013
167	交	3240416	1093412429
168	管	3215847	1096628276
169	意	3214892	1099843168
170	万	3212231	1103055399
171	投	3191388	1106246787
172	建	3164588	1109411375
173	股	3149937	1112561312
174	去	3141535	1115702847
175	民	3139385	1118842232
176	并	3128251	1121970483
177	种	3123171	1125093654
178	员	3084515	1128178169
179	此	3064373	1131242542
180	第	3046038	1134288580
181	应	2976394	1137264974
182	些	2961728	1140226702
183	做	2919086	1143145788
184	无	2912966	1146058754
185	设	2892598	1148951352
186	据	2867265	1151818617
187	路	2864925	1154683542
188	安	2833232	1157516774
189	样	2828186	1160344960
190	商	2826081	1163171041
191	式	2796332	1165967373
192	正	2793967	1168761340
193	系	2786872	1171548212
194	已	2779459	1174327671
195	常	2743347	1177071018
196	收	2734183	1179805201
197	活	2708215	1182513416
198	身	2679671	1185193087
199	被	2659212	1187852299
200	让	2647836	1190500135
201	己	2638238	1193138373
202	海	2628482	1195766855
203	线	2622876	1198389731
204	或	2612738	1201002469
205	持	2604878	1203607347
206	想	2598805	1206206152
207	两	2593862	1208800014
208	二	2581113	1211381127
209	注	2578339	1213959466
210	只	2573755	1216533221
211	题	2565651	1219098872
212	特	2553242	1221652114
213	那	2548643	1224200757
214	政	2535156	1226735913
215	物	2524163	1229260076
216	老	2509083	1231769159
217	原	2492464	1234261623
218	解	2492224	1236753847
219	联	2477279	1239231126
220	女	2469662	1241700788
221	格	2436400	1244137188
222	东	2426987	1246564175
223	程	2406130	1248970305
224	记	2399553	1251369858
225	增	2399550	1253769408
226	问	2392514	1256161922
227	证	2380344	1258542266
228	代	2379996	1260922262
229	感	2378780	1263301042
230	至	2364107	1265665149
231	风	2363820	1268028969
232	向	2352636	1270381605
233	教	2346894	1272728499
234	别	2327094	1275055593
235	单	2326661	1277382254
236	门	2311693	1279693947
237	示	2305602	1281999549
238	气	2304031	1284303580
239	服	2291522	1286595102
240	回	2289766	1288884868
241	需	2285315	1291170183
242	创	2284644	1293454827
243	费	2279436	1295734263
244	知	2261670	1297995933
245	考	2261272	1300257205
246	规	2251197	1302508402
247	接	2244128	1304752530
248	受	2233726	1306986256
249	每	2224877	1309211133
250	强	2218373	1311429506
251	打	2207426	1313636932
252	处	2195965	1315832897
253	企	2193710	1318026607
254	变	2185392	1320211999
255	运	2180943	1322392942
256	给	2180796	1324573738
257	少	2173792	1326747530
258	总	2171174	1328918704
259	技	2163740	1331082444
260	台	2163484	1333245928
261	结	2157446	1335403374
262	调	2136478	1337539852
263	型	2132737	1339672589
264	房	2131184	1341803773
265	色	2129550	1343933323
