省份	年份	年级	人数	总人口
北京	2013	小1	166108	20270440
北京	2013	小2	145359	20270440
北京	2013	小3	139127	20270440
北京	2013	小4	118647	20270440
北京	2013	小5	107160	20270440
北京	2013	小6	112875	20270440
北京	2013	小毕	111839	20270440
天津	2013	小1	107408	13209845
天津	2013	小2	102757	13209845
天津	2013	小3	100203	13209845
天津	2013	小4	83318	13209845
天津	2013	小5	82278	13209845
天津	2013	小6	76152	13209845
天津	2013	小毕	86133	13209845
河北	2013	小1	996125	72670148
河北	2013	小2	1020143	72670148
河北	2013	小3	972557	72670148
河北	2013	小4	870400	72670148
河北	2013	小5	781395	72670148
河北	2013	小6	821515	72670148
河北	2013	小毕	840140	72670148
山西	2013	小1	394370	35471273
山西	2013	小2	404772	35471273
山西	2013	小3	379644	35471273
山西	2013	小4	384356	35471273
山西	2013	小5	346587	35471273
山西	2013	小6	386654	35471273
山西	2013	小毕	477274	35471273
内蒙古	2013	小1	230674	24507308
内蒙古	2013	小2	222335	24507308
内蒙古	2013	小3	230175	24507308
内蒙古	2013	小4	202241	24507308
内蒙古	2013	小5	204506	24507308
内蒙古	2013	小6	220664	24507308
内蒙古	2013	小毕	232846	24507308
辽宁	2013	小1	350928	43396598
辽宁	2013	小2	338410	43396598
辽宁	2013	小3	349377	43396598
辽宁	2013	小4	329469	43396598
辽宁	2013	小5	315280	43396598
辽宁	2013	小6	360594	43396598
辽宁	2013	小毕	365054	43396598
吉林	2013	小1	217823	26398383
吉林	2013	小2	235270	26398383
吉林	2013	小3	237621	26398383
吉林	2013	小4	232709	26398383
吉林	2013	小5	205832	26398383
吉林	2013	小6	232613	26398383
吉林	2013	小毕	235930	26398383
黑龙江	2013	小1	274451	36246773
黑龙江	2013	小2	283013	36246773
黑龙江	2013	小3	286112	36246773
黑龙江	2013	小4	275576	36246773
黑龙江	2013	小5	248604	36246773
黑龙江	2013	小6	172279	36246773
黑龙江	2013	小毕	330069	36246773
上海	2013	小1	181210	23559708
上海	2013	小2	168965	23559708
上海	2013	小3	163597	23559708
上海	2013	小4	142492	23559708
上海	2013	小5	131424	23559708
上海	2013	小6	4788	23559708
上海	2013	小毕	134504	23559708
江苏	2013	小1	851334	80438923
江苏	2013	小2	789696	80438923
江苏	2013	小3	754184	80438923
江苏	2013	小4	704838	80438923
江苏	2013	小5	633413	80438923
江苏	2013	小6	620229	80438923
江苏	2013	小毕	639404	80438923
浙江	2013	小1	607618	57289342
浙江	2013	小2	602773	57289342
浙江	2013	小3	619191	57289342
浙江	2013	小4	590099	57289342
浙江	2013	小5	538999	57289342
浙江	2013	小6	537166	57289342
浙江	2013	小毕	540378	57289342
安徽	2013	小1	753377	59954454
安徽	2013	小2	675854	59954454
安徽	2013	小3	698878	59954454
安徽	2013	小4	674818	59954454
安徽	2013	小5	654231	59954454
安徽	2013	小6	634809	59954454
安徽	2013	小毕	654897	59954454
福建	2013	小1	496485	38230592
福建	2013	小2	465123	38230592
福建	2013	小3	445193	38230592
福建	2013	小4	420888	38230592
福建	2013	小5	391111	38230592
福建	2013	小6	379575	38230592
福建	2013	小毕	398464	38230592
江西	2013	小1	819315	44752921
江西	2013	小2	736429	44752921
江西	2013	小3	685153	44752921
江西	2013	小4	647002	44752921
江西	2013	小5	597603	44752921
江西	2013	小6	595584	44752921
江西	2013	小毕	655898	44752921
山东	2013	小1	1156907	97478513
山东	2013	小2	1099498	97478513
山东	2013	小3	1142465	97478513
山东	2013	小4	1062243	97478513
山东	2013	小5	976327	97478513
山东	2013	小6	822380	97478513
山东	2013	小毕	1033007	97478513
河南	2013	小1	1814359	95595273
河南	2013	小2	1691320	95595273
河南	2013	小3	1565645	95595273
河南	2013	小4	1495850	95595273
河南	2013	小5	1442441	95595273
河南	2013	小6	1390156	95595273
河南	2013	小毕	1644760	95595273
湖北	2013	小1	608425	57391701
湖北	2013	小2	600002	57391701
湖北	2013	小3	566360	57391701
湖北	2013	小4	536631	57391701
湖北	2013	小5	493839	57391701
湖北	2013	小6	477322	57391701
湖北	2013	小毕	489395	57391701
湖南	2013	小1	847605	65911145
湖南	2013	小2	824235	65911145
湖南	2013	小3	773980	65911145
湖南	2013	小4	763754	65911145
湖南	2013	小5	728017	65911145
湖南	2013	小6	740511	65911145
湖南	2013	小毕	770482	65911145
广东	2013	小1	1497546	110390638
广东	2013	小2	1429766	110390638
广东	2013	小3	1365672	110390638
广东	2013	小4	1304540	110390638
广东	2013	小5	1235577	110390638
广东	2013	小6	1246280	110390638
广东	2013	小毕	1370411	110390638
广西	2013	小1	755708	47220157
广西	2013	小2	733313	47220157
广西	2013	小3	715499	47220157
广西	2013	小4	702775	47220157
广西	2013	小5	678534	47220157
广西	2013	小6	676795	47220157
广西	2013	小毕	700641	47220157
海南	2013	小1	132334	9072368
海南	2013	小2	132720	9072368
海南	2013	小3	126708	9072368
海南	2013	小4	116731	9072368
海南	2013	小5	114671	9072368
海南	2013	小6	117029	9072368
海南	2013	小毕	124664	9072368
重庆	2013	小1	376050	29773304
重庆	2013	小2	346187	29773304
重庆	2013	小3	327554	29773304
重庆	2013	小4	315557	29773304
重庆	2013	小5	306394	29773304
重庆	2013	小6	317386	29773304
重庆	2013	小毕	326451	29773304
四川	2013	小1	952660	81381661
四川	2013	小2	933629	81381661
四川	2013	小3	875383	81381661
四川	2013	小4	849136	81381661
四川	2013	小5	810582	81381661
四川	2013	小6	838146	81381661
四川	2013	小毕	886816	81381661
贵州	2013	小1	510594	35849725
贵州	2013	小2	586647	35849725
贵州	2013	小3	576400	35849725
贵州	2013	小4	592197	35849725
贵州	2013	小5	624443	35849725
贵州	2013	小6	665052	35849725
贵州	2013	小毕	723478	35849725
云南	2013	小1	613613	46335674
云南	2013	小2	623151	46335674
云南	2013	小3	653430	46335674
云南	2013	小4	659159	46335674
云南	2013	小5	678436	46335674
云南	2013	小6	692993	46335674
云南	2013	小毕	713770	46335674
西藏	2013	小1	51570	3182910
西藏	2013	小2	51235	3182910
西藏	2013	小3	48373	3182910
西藏	2013	小4	47986	3182910
西藏	2013	小5	49336	3182910
西藏	2013	小6	46299	3182910
西藏	2013	小毕	46118	3182910
陕西	2013	小1	393729	37974668
陕西	2013	小2	389352	37974668
陕西	2013	小3	378533	37974668
陕西	2013	小4	374298	37974668
陕西	2013	小5	362109	37974668
陕西	2013	小6	375254	37974668
陕西	2013	小毕	400469	37974668
甘肃	2013	小1	322133	25407345
甘肃	2013	小2	312352	25407345
甘肃	2013	小3	302739	25407345
甘肃	2013	小4	305745	25407345
甘肃	2013	小5	305056	25407345
甘肃	2013	小6	319243	25407345
甘肃	2013	小毕	370601	25407345
青海	2013	小1	80880	5714291
青海	2013	小2	80953	5714291
青海	2013	小3	78333	5714291
青海	2013	小4	77126	5714291
青海	2013	小5	78858	5714291
青海	2013	小6	78488	5714291
青海	2013	小毕	83487	5714291
宁夏	2013	小1	101311	6559206
宁夏	2013	小2	103589	6559206
宁夏	2013	小3	101690	6559206
宁夏	2013	小4	98565	6559206
宁夏	2013	小5	98357	6559206
宁夏	2013	小6	100435	6559206
宁夏	2013	小毕	101909	6559206
新疆	2013	小1	351544	22953844
新疆	2013	小2	323580	22953844
新疆	2013	小3	308852	22953844
新疆	2013	小4	297921	22953844
新疆	2013	小5	302283	22953844
新疆	2013	小6	310221	22953844
新疆	2013	小毕	321294	22953844
北京	2013	初1	106936	20270440
北京	2013	初2	107904	20270440
北京	2013	初3	94862	20270440
北京	2013	初4	866	20270440
北京	2013	初毕	92373	20270440
天津	2013	初1	85818	13209845
天津	2013	初2	83577	13209845
天津	2013	初3	81070	13209845
天津	2013	初4	10245	13209845
天津	2013	初毕	79660	13209845
河北	2013	初1	783551	72670148
河北	2013	初2	702538	72670148
河北	2013	初3	602381	72670148
河北	2013	初4	0	72670148
河北	2013	初毕	667759	72670148
山西	2013	初1	413040	35471273
山西	2013	初2	428225	35471273
山西	2013	初3	450177	35471273
山西	2013	初4	0	35471273
山西	2013	初毕	541457	35471273
内蒙古	2013	初1	227562	24507308
内蒙古	2013	初2	230867	24507308
内蒙古	2013	初3	228145	24507308
内蒙古	2013	初4	1890	24507308
内蒙古	2013	初毕	249435	24507308
辽宁	2013	初1	358190	43396598
辽宁	2013	初2	354153	43396598
辽宁	2013	初3	341593	43396598
辽宁	2013	初4	3552	43396598
辽宁	2013	初毕	386556	43396598
吉林	2013	初1	218434	26398383
吉林	2013	初2	215537	26398383
吉林	2013	初3	210843	26398383
吉林	2013	初4	179	26398383
吉林	2013	初毕	240310	26398383
黑龙江	2013	初1	279083	36246773
黑龙江	2013	初2	279570	36246773
黑龙江	2013	初3	274885	36246773
黑龙江	2013	初4	99301	36246773
黑龙江	2013	初毕	373316	36246773
上海	2013	初1	120475	23559708
上海	2013	初2	115298	23559708
上海	2013	初3	107429	23559708
上海	2013	初4	93494	23559708
上海	2013	初毕	94135	23559708
江苏	2013	初1	618597	80438923
江苏	2013	初2	619809	80438923
江苏	2013	初3	618738	80438923
江苏	2013	初4	325	80438923
江苏	2013	初毕	675206	80438923
浙江	2013	初1	512457	57289342
浙江	2013	初2	502260	57289342
浙江	2013	初3	466438	57289342
浙江	2013	初4	1494	57289342
浙江	2013	初毕	485774	57289342
安徽	2013	初1	652797	59954454
安徽	2013	初2	667753	59954454
安徽	2013	初3	675303	59954454
安徽	2013	初4	1238	59954454
安徽	2013	初毕	723950	59954454
福建	2013	初1	386160	38230592
福建	2013	初2	372951	38230592
福建	2013	初3	349115	38230592
福建	2013	初4	0	38230592
福建	2013	初毕	371373	38230592
江西	2013	初1	611360	44752921
江西	2013	初2	590511	44752921
江西	2013	初3	552490	44752921
江西	2013	初4	0	44752921
江西	2013	初毕	626094	44752921
山东	2013	初1	996389	97478513
山东	2013	初2	1001958	97478513
山东	2013	初3	989436	97478513
山东	2013	初4	192017	97478513
山东	2013	初毕	1050979	97478513
河南	2013	初1	1377143	95595273
河南	2013	初2	1306902	95595273
河南	2013	初3	1152105	95595273
河南	2013	初4	14343	95595273
河南	2013	初毕	1403358	95595273
湖北	2013	初1	487919	57391701
湖北	2013	初2	498585	57391701
湖北	2013	初3	496461	57391701
湖北	2013	初4	745	57391701
湖北	2013	初毕	533709	57391701
湖南	2013	初1	766477	65911145
湖南	2013	初2	723179	65911145
湖南	2013	初3	653191	65911145
湖南	2013	初4	0	65911145
湖南	2013	初毕	666508	65911145
广东	2013	初1	1300543	110390638
广东	2013	初2	1359072	110390638
广东	2013	初3	1388291	110390638
